sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[16 14 17  3  3  1  9 38 17 41 10  7  2 13 43  7 30 23 30 49  0  0  0  0
   0  0  0  0  0  0  0]]",0.5490000247955322,884.541015625,0.4959,0.5660833333333334,2.6681149005889893,6,"[0.8, 0.882]","(0.883, 197.49, 0.882)"
"[[ 2 17 10 14 12 13 10 33 21 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,785.47900390625,0.4895,0.50308,2.517860174179077,5,"[0.8, 0.6738]","(0.883, 197.49, 0.882)"
"[[32 15 10 20 15 35 48 13 27  3 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,837.052978515625,0.4685,0.7666333333333332,2.2220265865325928,6,"[0.8, 0.938]","(0.901, 72.531, 0.938)"
"[[ 9 27 36 35  1 19 42 32  3 24  7 27 41 23 30 26  1 25 47 38 26 44 46 16
  10 19 10 10 47 44 42]]",0.4099999964237213,827.0390014648438,0.4725,0.70332,3.1293511390686035,5,"[0.8, 0.9158]","(0.901, 72.531, 0.938)"
"[[ 4 25 34 48 25 39 13 21 21 42 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.421999990940094,305.45098876953125,0.6852,0.5934999999999999,2.3723795413970947,5,"[0.8, 0.8936]","(0.901, 72.531, 0.938)"
"[[ 7 18  1 21 32 21 30 16 31 24  1 39 34 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,838.6199951171875,0.4682,0.5177799999999999,2.7625155448913574,5,"[0.8, 0.7129]","(0.901, 72.531, 0.938)"
"[[39 47 32 23 17 27  1 29 12  1 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,856.0770263671875,0.4612,0.6701857142857143,2.6014626026153564,7,"[0.8, 0.8651]","(0.901, 72.531, 0.938)"
"[[38 45 40 37 34 13 15 28 44 21  7 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,862.2039794921875,0.4585,0.6541333333333333,1.7946019172668457,6,"[0.8, 0.9129]","(0.901, 72.531, 0.938)"
"[[28 43 27 40  9 17 45 14 22 40  7 33 13 16 13  9 30  6 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.5410000085830688,846.9130249023438,0.5082,0.5527399999999999,1.8600289821624756,5,"[0.8, 0.7015]","(0.901, 72.531, 0.938)"
"[[ 5 10 15 12  1 15 48 20 22 22 44 28  6 12 23 29 17 45 47 49  0  0  0  0
   0  0  0  0  0  0  0]]",0.4580000042915344,397.7149963378906,0.6602,0.5783400000000001,2.689823627471924,5,"[0.8, 0.7506]","(0.901, 72.531, 0.938)"
"[[26 38 22 12 17 46 15 35 12  5 10 39 17  6 13 13 23 32  4 33 49  0  0  0
   0  0  0  0  0  0  0]]",0.4059999883174896,847.2420043945312,0.4631,0.47732,2.640474796295166,5,"[0.8, 0.6312]","(0.901, 72.531, 0.938)"
"[[17  4 45 31  4  5 35 23 47  2 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40400001406669617,961.64697265625,0.4167,0.5851166666666666,2.1814124584198,6,"[0.8, 0.8382]","(0.901, 72.531, 0.938)"
"[[20  1  3 13 24  9 22 20 11 29 35 23 36  4 23 43 23 19 48 15 37 43 11 23
  31 47 45 37 12 27  2]]",0.41100001335144043,1027.6910400390625,0.4037,0.4960800000000001,3.0312752723693848,5,"[0.8, 0.7485]","(0.901, 72.531, 0.938)"
"[[33 48 14 38  2 30 13  3 20 17 39 12 15 29 40 46 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.5139999985694885,353.635009765625,0.6965,0.7743428571428572,2.880737781524658,7,"[0.8, 0.9348]","(0.901, 72.531, 0.938)"
"[[ 2 43 37 26 32 24 37 40 35 40 14 19 19 45 30 48 14 41  2 43 11 49  0  0
   0  0  0  0  0  0  0]]",0.8809999823570251,417.2720031738281,0.7934,0.5366600000000001,2.8607735633850098,5,"[0.8, 0.7934]","(0.901, 72.531, 0.938)"
"[[ 6 46 44 19 29 44 20 26  2  3 23 38 41 42  8 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8650000095367432,809.197021484375,0.6313,0.55616,3.0305707454681396,5,"[0.8, 0.6313]","(0.901, 72.531, 0.938)"
"[[ 8 21 15 28 36 21 40 22 23 40 44 14 17  8  9 13 35  8 41  1 45 47 43 13
  23 43  6 46 35 19  6]]",0.421999990940094,1222.93603515625,0.4073,0.4418,2.933051824569702,5,"[0.8, 0.4833]","(0.901, 72.531, 0.938)"
"[[29 39 41 29 47 38 37 30 48 22  8  1 19 19 15 46 30 10 32 49  0  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,729.4210205078125,0.5106,0.6235600000000001,2.8106706142425537,5,"[0.8, 0.8463]","(0.901, 72.531, 0.938)"
"[[14 24 15 20 34 24 33 45  8 35 47 46 22 11 45 40  1 14 19 33 46 17 22 30
  22  7  8  8  3 17 39]]",0.4059999883174896,1121.904052734375,0.402,0.59538,3.007110118865967,5,"[0.8, 0.9255]","(0.901, 72.531, 0.938)"
"[[ 4 26 15  9 43 32 47 18 28 38 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41999998688697815,728.8040161132812,0.5151,0.58084,2.201272964477539,5,"[0.8, 0.851]","(0.901, 72.531, 0.938)"
"[[ 4 17 16  9  1  8  3 15  4 13 41  1 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.414000004529953,833.9559936523438,0.4711,0.46021999999999996,3.0312070846557617,5,"[0.8, 0.624]","(0.901, 72.531, 0.938)"
"[[29 43 16 44 20 13 37 26 33 33 10 13 41 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,704.1079711914062,0.5217,0.64408,2.5180482864379883,5,"[0.8, 0.9062]","(0.901, 72.531, 0.938)"
"[[ 4 44  7  7  8  8  5 38  9 25  6  9 32 26 33 30 16 19 47 11 14 20 17 48
  13  4 49  0  0  0  0]]",0.8270000219345093,676.0289916992188,0.6719,0.59364,3.3481526374816895,5,"[0.8, 0.9198]","(0.901, 72.531, 0.938)"
"[[32 35 23 25 32 23  5 28 20 33  2 43 46  2 24 22 39 15 13  1  8  9 48  9
  45 20 35  8 24 35 18]]",0.4050000011920929,780.6199951171875,0.4894,0.5986,3.15321683883667,5,"[0.8, 0.883]","(0.901, 72.531, 0.938)"
"[[23  7  7 47 18 38 43 44  8 48  8 40 17 35 42  9 14 14 44  6 39  6 38  7
  19  8  3  4 39 12 46]]",0.4009999930858612,948.6890258789062,0.4209,0.53185,3.583369493484497,6,"[0.8, 0.8382]","(0.901, 72.531, 0.938)"
"[[ 3  5  7 14 45  7 14 29 17 46 46 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.7870000004768372,644.0050048828125,0.6714,0.6747714285714286,2.462343454360962,7,"[0.8, 0.9028]","(0.901, 72.531, 0.938)"
"[[19 46 26 47 32 29 44 30 27 14  1 30 33 38 10 29 32  1 30 46  1  7 41  1
   6  2 23 49  0  0  0]]",0.4099999964237213,971.864013671875,0.4146,0.6111333333333334,3.0135457515716553,6,"[0.8, 0.8622]","(0.901, 72.531, 0.938)"
"[[33 44 47  7 30 20 45 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41499999165534973,753.4749755859375,0.5036,0.53582,2.445009231567383,5,"[0.8, 0.8202]","(0.901, 72.531, 0.938)"
"[[28 25  5 27 15 38 12 25  3  5 41  6 35 30  6  3 36 13 24 17 38 26 39 47
  34 30 15 24  5  2  5]]",0.4129999876022339,820.4719848632812,0.4761,0.6325714285714286,3.4729092121124268,7,"[0.8, 0.906]","(0.901, 72.531, 0.938)"
"[[ 5  3  9 48 13 22 10 18 31 38  9 23 38 18 40  6 15  9 46 17 36 49  0  0
   0  0  0  0  0  0  0]]",0.4059999883174896,869.4600219726562,0.4542,0.50734,2.5673506259918213,5,"[0.8, 0.6702]","(0.901, 72.531, 0.938)"
"[[15 23  9 34 37 40 18 34 11 22 23 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41200000047683716,969.4860229492188,0.4162,0.50758,2.2254292964935303,5,"[0.8, 0.7022]","(0.901, 72.531, 0.938)"
"[[ 2 17 16 23 25  9 45  4 39 45  6 21 26  7 48  3 15 24 40 46 12 12 46 39
  24  1  4  1 10 12 18]]",0.7480000257492065,886.6859741210938,0.5613,0.5219600000000001,3.7132134437561035,5,"[0.8, 0.562]","(0.901, 72.531, 0.938)"
"[[ 9 20 17 27 16 13 47 23 25 30 26 33 30 30 17 34 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,1107.322021484375,0.403,0.62624,3.566481828689575,5,"[0.8, 0.8857]","(0.901, 72.531, 0.938)"
"[[17 47 33 44 15 22  7 46 44 33 28 23  8  1  1  1 27 47 21  1 33 32 46 33
   5 46  4  2 17  5 13]]",0.4020000100135803,1313.7359619140625,0.4007,0.56124,2.616255521774292,5,"[0.8, 0.8804]","(0.901, 72.531, 0.938)"
"[[19 13 15 13  4 46 28 39 38 21 28 33 21 21 12 12 20  1 35  8 46  4 47 47
  45 17 26  4 19  8 35]]",0.40700000524520874,1275.615966796875,0.4023,0.59128,2.6895291805267334,5,"[0.8, 0.8542]","(0.901, 72.531, 0.938)"
"[[33 48 33  3 41 26 17  1 23  8 28 43 20  3 10 21  7 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4169999957084656,154.88699340820312,0.7437,0.6327,1.9327661991119385,5,"[0.8, 0.8228]","(0.901, 72.531, 0.938)"
"[[35  3 46 21 14 21 25 35 47 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,880.7360229492188,0.451,0.5440400000000001,2.9559051990509033,5,"[0.8, 0.6892]","(0.901, 72.531, 0.938)"
"[[24 31 40  6 43 43 15 14  4 34 10 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4180000126361847,818.010986328125,0.4788,0.6791400000000001,1.5912481546401978,5,"[0.8, 0.9339]","(0.901, 72.531, 0.938)"
