accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.46700000762939453,623.3510131835938,0.573,"[[33 47  1 17 39 42 14 13 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40299999713897705,923.8670043945312,0.4315,"[[19 19 43 29  9 22  7 25 45 32  2 45 43 18 34  7 32 25 30 30  3 13 15 33
  20 32 29 27  3 44 27]]"
0.4059999883174896,899.2310180664062,0.4423,"[[21 20  2 30 43 24  9 34 46 37 33 26 34 13 47 33 33 30 39 36 49  0  0  0
   0  0  0  0  0  0  0]]"
0.41999998688697815,587.2730102539062,0.5718,"[[28 18  1 35  5 15 27 35 44  3 44 31 41  3  5 27 36 30 17  8 34 33 36 43
   9 47 44 30  9 49  0]]"
0.8830000162124634,197.49000549316406,0.882,"[[40 43 45  4  1  1 43 38 31  1 23 26  9 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.5490000247955322,884.541015625,0.4959,"[[16 14 17  3  3  1  9 38 17 41 10  7  2 13 43  7 30 23 30 49  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8759999871253967,712.2410278320312,0.6738,"[[37 43 18  2  2 35 47  4 19 23 26 20 22 40 35  1  1 42 39 36 16 36 45 36
  42 44 46 47 20 48 18]]"
0.40799999237060547,919.0819702148438,0.435,"[[ 9 45 27 16 23 22 34 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,882.9810180664062,0.4495,"[[15 35  7 20 48 27 17 37  4 28 27 16 46 48 25 37 20 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4050000011920929,835.0989990234375,0.4676,"[[21  4 22 13 16  4 14 22 11 26 44 20 23  6  6 26 41  2 42 42 19 33  7 20
  27 33 11 30  5 12 49]]"
0.41100001335144043,785.47900390625,0.4895,"[[ 2 17 10 14 12 13 10 33 21 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8709999918937683,271.4330139160156,0.8484,"[[14 39 20  6 45 44  4 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.9010000228881836,72.53099822998047,0.938,"[[ 2 12 11  8  6 13 20 47 46 33 12 35  3 30 47 39  1  9 25 18 26 38  1 15
   1  8  3 24 41  6 24]]"
0.8989999890327454,76.06199645996094,0.9359,"[[10  5 41 29  3  1 10 46 28 14 37 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,814.2520141601562,0.4776,"[[35 43 11 21 11 40 42  5 42 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.890999972820282,80.73500061035156,0.9314,"[[41  5  6 34  2 34 27  3  9 25 19 10 26 19 36 16 11 30 18 10 39 14 16 48
  23 15 26 26 14 26 36]]"
0.4099999964237213,837.052978515625,0.4685,"[[32 15 10 20 15 35 48 13 27  3 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7749999761581421,358.2359924316406,0.7817,"[[38 11 36  3 31 28 10 36  2 36 16 37  1 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8799999952316284,251.60699462890625,0.8594,"[[31 43  1 31 33  9 17 15  2 36  1 21 28 42  9  8  5 43 20 18  9 39 48 13
  15 27 35 44 30 38 33]]"
0.8610000014305115,94.7750015258789,0.9158,"[[40 38 18 28 48 27 27 18 18 33 23 46 34 37 32 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.39899998903274536,781.8839721679688,0.4872,"[[27  3 43  4  9 34 46 25  8 14  4 34  1 13 43 28 45 23  4 19  8 46 23  8
  12 45 10 38 24 23 13]]"
0.4099999964237213,827.0390014648438,0.4725,"[[ 9 27 36 35  1 19 42 32  3 24  7 27 41 23 30 26  1 25 47 38 26 44 46 16
  10 19 10 10 47 44 42]]"
0.8709999918937683,158.531005859375,0.8936,"[[38  8 14 39 44 13 28 20 37 48 41 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,727.1320190429688,0.5121,"[[27 25 22 37 29  5  5 36 33 38 45  7 32 45 31 48  8 41 39 24 17 14 21 33
  14 22 18  4 46 15 38]]"
0.4090000092983246,822.8049926757812,0.4739,"[[30 13  9 18 24  1  4 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,1059.4239501953125,0.4027,"[[19 34  3 28 34 24 14 36 46 26 37 37 21 20  3 13 20 19 13 32 12  2  9 10
  22 36 38 30  7 49  0]]"
0.421999990940094,305.45098876953125,0.6852,"[[ 4 25 34 48 25 39 13 21 21 42 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.6930000185966492,461.8210144042969,0.7129,"[[41 46 37 37 42 46 46 30 20  1 45 39 16 39 35 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4059999883174896,907.2000122070312,0.4391,"[[23  4 10 37 34 47 24 15 15 33  5 40  3 47 40 12 27  8 13 14 19 49  0  0
   0  0  0  0  0  0  0]]"
0.40400001406669617,793.864990234375,0.4838,"[[21 15 45 42  2 14  1 37 18  9 41 26 30 28 36 44 30  6  6 29 19  2  6 10
  49  0  0  0  0  0  0]]"
0.4129999876022339,798.677978515625,0.4849,"[[28  1 16 22 28 22 21  9 20 46 48 44 12  7  1 24 17 27  9  4 46  8 35 29
  42 45 13 35 18 24 33]]"
0.41100001335144043,838.6199951171875,0.4682,"[[ 7 18  1 21 32 21 30 16 31 24  1 39 34 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8690000176429749,326.7650146484375,0.8256,"[[42 45 28 41 13  1 39 47 47 36 29  3  2 43 40 29 36 18  5  6 33  5 23 49
   0  0  0  0  0  0  0]]"
0.4480000138282776,164.78599548339844,0.7501,"[[10  1 34 20  8 28 25 44 18 14 34  1 20 27 43 39 42 48 33 19 38 16 23 15
   1 17 13 45 14 49  0]]"
0.40299999713897705,735.5460205078125,0.5068,"[[21 29 39 35 11  7  6 38 42 37 43 10  4 16 10 23 15 14 16 29 35 16 33 18
  16 42 32  1  9 32 48]]"
0.40799999237060547,910.6409912109375,0.4384,"[[ 9 17 41 22 15 27  5 45 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7379999756813049,171.322998046875,0.8441,"[[ 6  6 24 34 34 11 28 37 22 44 29 23 30 26 13 44 28  9 29 45 23 37 49  0
   0  0  0  0  0  0  0]]"
0.8920000195503235,247.2239990234375,0.8651,"[[ 3 31  4 17 33 44 46  8 48 11 40 14 11 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.41100001335144043,856.0770263671875,0.4612,"[[39 47 32 23 17 27  1 29 12  1 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,884.6270141601562,0.4495,"[[29 25 13  4 38 19 23 18 37 37 27 25 10 37 25 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.890999972820282,127.03500366210938,0.9129,"[[18 35  1 40 30  4 41 32 18 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8610000014305115,857.5880126953125,0.6106,"[[ 9 35  8  1 48 19 44 46 42 18 17 26 40 25 10 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7160000205039978,805.5910034179688,0.5831,"[[16 31 43 17 45 22 25  2  8 32 45  2 13 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8569999933242798,105.22899627685547,0.9102,"[[27 33 16 41  8  8 47 27 28 10  6  6 19 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,862.2039794921875,0.4585,"[[38 45 40 37 34 13 15 28 44 21  7 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,896.0650024414062,0.4442,"[[17 26  2  2 30  7 46 41 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40700000524520874,981.4140014648438,0.4098,"[[35 20 47 38 13 13 43 41 38  9 37 28 43  7 19 16 41 36 13  4 40 49  0  0
   0  0  0  0  0  0  0]]"
0.44699999690055847,289.18701171875,0.7,"[[34 35 28 14 17 20 37 44 39  1 32 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.718999981880188,512.0780029296875,0.7015,"[[11 42  6 35 22 29 12 19 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.5410000085830688,846.9130249023438,0.5082,"[[28 43 27 40  9 17 45 14 22 40  7 33 13 16 13  9 30  6 49  0  0  0  0  0
   0  0  0  0  0  0  0]]"
