sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[17 14 26 33 16 16 34 43 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,914.041015625,0.0312,0.14984,2.3480472564697266,5,"[0.55, 0.3803]","(0.85, 156.461, 0.3803)"
"[[ 8  2 15 20 43  3 22 20 21 11 21 40 12  1 18 33 27 46 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8799999952316284,848.3150024414062,0.0726,0.06408,2.3971199989318848,5,"[0.55, 0.1206]","(0.85, 156.461, 0.3803)"
"[[15 13 48 42 45 14 40 37  4  2 48 44 12  3 36  7 45 11 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4050000011920929,831.3189697265625,0.0341,0.03654,3.129115581512451,5,"[0.55, 0.0502]","(0.85, 156.461, 0.3803)"
"[[21 45 34 28 20 21 32  4 17 17  7 28 46  7 46  9  2 35 46 43 38 24 12 19
   5  5  6  6 39 35  9]]",0.4050000011920929,1002.9940185546875,0.0284,0.06345999999999999,3.0808629989624023,5,"[0.55, 0.1064]","(0.85, 156.461, 0.3803)"
"[[11  6  1 15  1 30 44 40 47 12 42 40 23  5 28 39 26  3  3 19 36  6 16 13
   9 33 43 21 11 10 10]]",0.8880000114440918,639.3480224609375,0.0972,0.18645,2.4867136478424072,6,"[0.55, 0.891]","(0.891, 65.816, 0.891)"
"[[21  1 10 40  1 33 13 31 10 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,870.1619873046875,0.0327,0.12794999999999998,2.751032829284668,6,"[0.55, 0.5514]","(0.891, 65.816, 0.891)"
"[[ 2 22 12 12 42 48 30 44  2 26 17 17  3 39  1 34 14 44 35 30  7 10 11 30
  11 45 11 49  0  0  0]]",0.414000004529953,710.927978515625,0.0408,0.11564,2.9100098609924316,5,"[0.55, 0.2505]","(0.891, 65.816, 0.891)"
"[[ 7 46 44 24 29  6 41 10 47  8 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,784.8099975585938,0.0365,0.05828,2.8366942405700684,5,"[0.55, 0.1119]","(0.891, 65.816, 0.891)"
"[[22  4 38 11 29 27  7  9 19 20  6  1 13  9 40 34 19 12 42 36 17 14 48 45
  17 30 21 19  6 19 21]]",0.40700000524520874,257.2640075683594,0.1107,0.064,2.348639965057373,5,"[0.55, 0.1107]","(0.891, 65.816, 0.891)"
"[[25 20 15 35  3 38 33 43 37 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,858.2589721679688,0.0334,0.03293999999999999,2.8362622261047363,5,"[0.55, 0.0384]","(0.891, 65.816, 0.891)"
"[[ 7 26 44 39  7 33  8 14  8 27  7  7 30 28 29  5 26  3 11 10  1 30 11 16
  16 27  5 49  0  0  0]]",0.41100001335144043,591.8250122070312,0.0486,0.060259999999999994,3.300365447998047,5,"[0.55, 0.099]","(0.891, 65.816, 0.891)"
"[[22 27  9 12 38 35 37 35 20  1 28 47 39 29 29  8 37 10 15 44 43 49  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,879.4340209960938,0.0326,0.27603999999999995,2.665799617767334,5,"[0.55, 0.8788]","(0.891, 65.816, 0.891)"
"[[42  9  3 39  1  6 32 13  8  3 38 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8709999918937683,424.8800048828125,0.1435,0.23864000000000002,2.2993791103363037,5,"[0.55, 0.34]","(0.891, 65.816, 0.891)"
"[[19 10 22 22  6  3 13 46 16 34 30 36 29 36 19  9 12 46 23 47  6 43  9  1
  22  4 47 38 46 21  3]]",0.4009999930858612,1520.0679931640625,0.0281,0.07604000000000001,2.6900131702423096,5,"[0.55, 0.1457]","(0.891, 65.816, 0.891)"
"[[33 37 24 26 37  8  1 34  6  8  8  4  7  5 47 33 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.5649999976158142,315.84698486328125,0.1252,0.14642,2.739278793334961,5,"[0.55, 0.4987]","(0.891, 65.816, 0.891)"
"[[17 38 27 29 24  4 31 22  3 31  8  6 17 48 29 38 43 19 16 49  0  0  0  0
   0  0  0  0  0  0  0]]",0.40299999713897705,955.1530151367188,0.0295,0.040420000000000005,2.2506308555603027,5,"[0.55, 0.0782]","(0.891, 65.816, 0.891)"
"[[ 1  1 28 10 36  9 12 18 39  4 44 12  4 17 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.43799999356269836,630.1749877929688,0.0487,0.041620000000000004,3.0566000938415527,5,"[0.55, 0.0487]","(0.891, 65.816, 0.891)"
"[[ 9 28 44  1  1  1  3 19 46  1 29 10  8 29  1 43 14 29 15 40  1 22 34 42
  11 23 36 15 20  5 26]]",0.453000009059906,1061.2750244140625,0.0317,0.05754,2.616921901702881,5,"[0.55, 0.1071]","(0.891, 65.816, 0.891)"
"[[35 45 30 39 11 33  6 46 42 19  2 28 22 47 33  7  2  3 45 48 49  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,822.5759887695312,0.0347,0.08574,2.4459805488586426,5,"[0.55, 0.242]","(0.891, 65.816, 0.891)"
"[[20 26  2  6 33 11 33 43 26 43 30  6 37 20 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.6809999942779541,841.9420166015625,0.0566,0.11779999999999999,1.9577232599258423,5,"[0.55, 0.27]","(0.891, 65.816, 0.891)"
"[[41 21 10 33 43 17 22 11 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,893.073974609375,0.032,0.048299999999999996,2.616887092590332,5,"[0.55, 0.0857]","(0.891, 65.816, 0.891)"
"[[22 37 47 25 46 26 15 43 37 39 39 39 41 28 23 43  5 10 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,887.2119750976562,0.0324,0.21111428571428567,2.236722469329834,7,"[0.55, 0.5719]","(0.891, 65.816, 0.891)"
"[[ 7 32 32 35 11 29 32 13 20 25 25 36 38 25 23 10 21 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.6930000185966492,107.56900024414062,0.451,0.23032,2.73881459236145,5,"[0.55, 0.495]","(0.891, 65.816, 0.891)"
"[[41 34 17 21 45 41 28 40 22  6 45 37 35 23 41 26 10 12 19 38 13 12 47  1
   1  9 14 41 21 19  3]]",0.41100001335144043,846.2780151367188,0.034,0.03148,3.618234157562256,5,"[0.55, 0.034]","(0.891, 65.816, 0.891)"
"[[17  5  9 48 32 39  1  6  6 22  9  1 34 11  6  9 41 23 45 37 43 49  0  0
   0  0  0  0  0  0  0]]",0.40400001406669617,934.2670288085938,0.0303,0.05392,2.445969820022583,5,"[0.55, 0.1395]","(0.891, 65.816, 0.891)"
"[[26  1 37 33 23 11  7  8 29 28  8  1  2 30 13 37  7 31 43 11 49  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,549.3660278320312,0.0522,0.3370666666666667,2.5475616455078125,6,"[0.55, 0.882]","(0.891, 65.816, 0.891)"
"[[21 10 28  1 39  8 38  2 17 43  6 32 12 45 33 21 29 33  6 42  7 22 49  0
   0  0  0  0  0  0  0]]",0.40400001406669617,906.6840209960938,0.0312,0.10390000000000002,3.129239082336426,5,"[0.55, 0.2886]","(0.891, 65.816, 0.891)"
"[[ 1 16 47 39  6  1  2  9 13 16 18 41 15 26 39 17 44 25 32 39  1 35  6  2
  11 26  1 10 23 23 39]]",0.40799999237060547,991.6480102539062,0.0288,0.36804,2.275191068649292,5,"[0.55, 0.904]","(0.904, 61.658, 0.904)"
"[[ 7 46 27 17 24 32  6 48  7  4 28  1 20 40 18 41 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,822.3809814453125,0.0348,0.03644,2.6168220043182373,5,"[0.55, 0.0411]","(0.904, 61.658, 0.904)"
"[[37 14  2 17 42 15 36 24 20 42 33 43 27 48 22 18 19 29 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8809999823570251,272.8500061035156,0.226,0.13956,2.4458987712860107,5,"[0.55, 0.2641]","(0.904, 61.658, 0.904)"
"[[24 20 17 21 13 12 44  1  6 25 39 38 46 26 40 23 34  4 48  5 29 38 13 45
   1 36  1 15 42  4 27]]",0.4090000092983246,779.8909912109375,0.0367,0.0742,2.739060163497925,5,"[0.55, 0.116]","(0.904, 61.658, 0.904)"
"[[29 17 42 22 16 33  7 35 21 16 24 48 24 11 26  7 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4059999883174896,882.823974609375,0.0322,0.2197,2.104130983352661,5,"[0.55, 0.4988]","(0.904, 61.658, 0.904)"
"[[21 32 12 20  1 41 15 15 36 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,936.2839965820312,0.0305,0.17665999999999998,2.128361225128174,5,"[0.55, 0.5689]","(0.904, 61.658, 0.904)"
"[[19 13 47 16  4 14  2 43 10  1 25 42 47 47 36 23  9  1 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41200000047683716,914.43798828125,0.0315,0.09058,2.9344189167022705,5,"[0.55, 0.2183]","(0.904, 61.658, 0.904)"
"[[ 7 17  6 42 15 39 20 44 10 22 19 40 33 39 14 10 45 45 21 46 36 40 47 20
  49  0  0  0  0  0  0]]",0.40700000524520874,963.1859741210938,0.0296,0.10785999999999998,2.4948437213897705,5,"[0.55, 0.4168]","(0.904, 61.658, 0.904)"
"[[19 40  1 19 22 21 15 11  6 45 33 30 31  1  1 44 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4009999930858612,995.1409912109375,0.0282,0.2476,2.78763484954834,5,"[0.55, 0.4817]","(0.904, 61.658, 0.904)"
"[[19 27 43 31 35 15 30 23 13 35 17 22 46 15 41 43 19 45 32  3 13 14 46 23
  23 32 36 11 10 49  0]]",0.40400001406669617,1210.1529541015625,0.0283,0.08784,2.5438592433929443,5,"[0.55, 0.286]","(0.904, 61.658, 0.904)"
"[[16  5 41  3 18 19 22 44 34 42 44 10  3 23 41 38 44 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.890999972820282,549.9310302734375,0.1134,0.32775999999999994,2.6169469356536865,5,"[0.55, 0.6099]","(0.904, 61.658, 0.904)"
"[[ 7 12 48  7 13 14 48 24  7 34 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,673.3920288085938,0.0426,0.07247999999999999,2.7143819332122803,5,"[0.55, 0.1488]","(0.904, 61.658, 0.904)"
"[[36 17 32 38 48 31 19 12  6 22 26 26 18 19 12 11 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,890.6119995117188,0.0323,0.18878,2.201894760131836,5,"[0.55, 0.6465]","(0.904, 61.658, 0.904)"
"[[11 44  5 33 38 31 29 16  1 47  8 14 11 22  7 44 45 11 33 32 10 38  9 10
  43  8 20 43 30 11  2]]",0.8429999947547913,684.2570190429688,0.0862,0.0938,3.4961071014404297,5,"[0.55, 0.2874]","(0.904, 61.658, 0.904)"
"[[ 1 19 32 25 37 37 46 21 30 16 42 14  5 45 19 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,896.6859741210938,0.0319,0.15332,3.032066822052002,5,"[0.55, 0.6057]","(0.904, 61.658, 0.904)"
"[[41 20  1 21 31 12  4  7 34  1 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8970000147819519,752.1500244140625,0.0835,0.22583333333333333,2.405209541320801,6,"[0.55, 0.879]","(0.904, 61.658, 0.904)"
"[[33 35 15 17 11 27 36  1  4 35 45 12 46 46  7 24 41 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,866.1400146484375,0.0331,0.07614000000000001,2.934046983718872,5,"[0.55, 0.1243]","(0.904, 61.658, 0.904)"
"[[31 34 43 21  3 27 22  7  3  1 25  4 40 17 22 35 28 27 11 30 13 30 44 49
   0  0  0  0  0  0  0]]",0.5270000100135803,454.6099853515625,0.0811,0.06504,2.787871837615967,5,"[0.55, 0.1021]","(0.904, 61.658, 0.904)"
"[[27 47  2  6 29 45 22 20 29 25 45 44 19 15  1 13 13 13 11 40  4  6 13 32
  17 43 39  1 23  9 38]]",0.40700000524520874,319.3680114746094,0.0892,0.046060000000000004,2.7147116661071777,5,"[0.55, 0.0892]","(0.904, 61.658, 0.904)"
