Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.38,0.55,0.3803,2.3480472564697266,0
2,5,0.121,0.55,0.3803,2.3971199989318848,2
3,5,0.05,0.55,0.3803,3.129115581512451,0
4,5,0.106,0.55,0.3803,3.0808629989624023,1
5,6,0.891,0.55,0.891,2.4867136478424072,1
6,6,0.551,0.55,0.891,2.751032829284668,0
7,5,0.25,0.55,0.891,2.9100098609924316,3
8,5,0.112,0.55,0.891,2.8366942405700684,0
9,5,0.111,0.55,0.891,2.348639965057373,1
10,5,0.038,0.55,0.891,2.8362622261047363,8
11,5,0.099,0.55,0.891,3.300365447998047,5
12,5,0.879,0.55,0.891,2.665799617767334,0
13,5,0.34,0.55,0.891,2.2993791103363037,0
14,5,0.146,0.55,0.891,2.6900131702423096,1
15,5,0.499,0.55,0.891,2.739278793334961,0
16,5,0.078,0.55,0.891,2.2506308555603027,1
17,5,0.049,0.55,0.891,3.0566000938415527,1
18,5,0.107,0.55,0.891,2.616921901702881,2
19,5,0.242,0.55,0.891,2.4459805488586426,2
20,5,0.27,0.55,0.891,1.9577232599258423,2
21,5,0.086,0.55,0.891,2.616887092590332,2
22,7,0.572,0.55,0.891,2.236722469329834,2
23,5,0.495,0.55,0.891,2.73881459236145,5
24,5,0.034,0.55,0.891,3.618234157562256,0
25,5,0.14,0.55,0.891,2.445969820022583,1
26,6,0.882,0.55,0.891,2.5475616455078125,0
27,5,0.289,0.55,0.891,3.129239082336426,1
28,5,0.904,0.55,0.904,2.275191068649292,4
29,5,0.041,0.55,0.904,2.6168220043182373,1
30,5,0.264,0.55,0.904,2.4458987712860107,1
31,5,0.116,0.55,0.904,2.739060163497925,1
32,5,0.499,0.55,0.904,2.104130983352661,0
33,5,0.569,0.55,0.904,2.128361225128174,0
34,5,0.218,0.55,0.904,2.9344189167022705,4
35,5,0.417,0.55,0.904,2.4948437213897705,5
36,5,0.482,0.55,0.904,2.78763484954834,2
37,5,0.286,0.55,0.904,2.5438592433929443,13
38,5,0.61,0.55,0.904,2.6169469356536865,4
39,5,0.149,0.55,0.904,2.7143819332122803,0
40,5,0.646,0.55,0.904,2.201894760131836,0
41,5,0.287,0.55,0.904,3.4961071014404297,6
42,5,0.606,0.55,0.904,3.032066822052002,3
43,6,0.879,0.55,0.904,2.405209541320801,2
44,5,0.124,0.55,0.904,2.934046983718872,0
45,5,0.102,0.55,0.904,2.787871837615967,3
46,5,0.089,0.55,0.904,2.7147116661071777,7
47,5,0.382,0.55,0.904,2.5195181369781494,1
48,5,0.454,0.55,0.904,1.542565107345581,0
49,5,0.306,0.55,0.904,2.152967929840088,1
50,5,0.044,0.55,0.904,2.5923736095428467,2
51,5,0.39,0.55,0.904,3.1056580543518066,1
52,6,0.566,0.55,0.904,2.0188026428222656,0
53,6,0.765,0.55,0.904,2.2221224308013916,5
54,5,0.478,0.55,0.904,3.080597400665283,0
55,5,0.044,0.55,0.904,2.88555645942688,5
56,5,0.156,0.55,0.904,3.0077199935913086,4
57,5,0.811,0.55,0.904,2.4460744857788086,1
58,5,0.037,0.55,0.904,2.616943597793579,1
59,5,0.226,0.55,0.904,3.325252056121826,0
60,5,0.615,0.55,0.904,2.689872980117798,3
61,5,0.059,0.55,0.904,2.9097554683685303,1
62,5,0.262,0.55,0.904,3.0563011169433594,1
63,5,0.378,0.55,0.904,1.8841021060943604,5
64,5,0.901,0.55,0.904,2.0066049098968506,0
65,6,0.882,0.55,0.904,2.5885820388793945,13
66,5,0.131,0.55,0.904,2.983179807662964,1
67,5,0.082,0.55,0.904,2.3726489543914795,6
68,5,0.786,0.55,0.904,2.9101779460906982,2
69,5,0.17,0.55,0.904,3.227402448654175,2
70,5,0.701,0.55,0.904,3.3244566917419434,1
71,5,0.605,0.55,0.904,2.8855490684509277,5
72,5,0.516,0.55,0.904,2.3723161220550537,3
73,5,0.046,0.55,0.904,2.568258762359619,4
74,5,0.577,0.55,0.904,3.129709243774414,2
75,5,0.055,0.55,0.904,2.861356496810913,2
76,5,0.631,0.55,0.904,2.6904709339141846,0
77,5,0.504,0.55,0.904,2.7389965057373047,3
78,5,0.087,0.55,0.904,3.007347345352173,6
79,5,0.548,0.55,0.904,2.592524290084839,7
80,5,0.177,0.55,0.904,3.0078015327453613,0
81,5,0.099,0.55,0.904,2.7634925842285156,1
82,5,0.266,0.55,0.904,3.105502128601074,0
83,5,0.114,0.55,0.904,2.6411688327789307,0
84,5,0.038,0.55,0.904,2.5681934356689453,0
85,5,0.45,0.55,0.904,2.739128589630127,2
86,5,0.486,0.55,0.904,2.079497814178467,0
87,5,0.612,0.55,0.904,3.3497283458709717,0
88,5,0.323,0.55,0.904,2.6169378757476807,0
89,5,0.288,0.55,0.904,3.3252291679382324,3
90,5,0.642,0.55,0.904,2.5190536975860596,1
91,5,0.358,0.55,0.904,2.934473752975464,10
92,5,0.863,0.55,0.904,1.9818493127822876,7
93,5,0.044,0.55,0.904,2.836764335632324,3
94,5,0.184,0.55,0.904,3.3981728553771973,2
95,5,0.845,0.55,0.904,2.86085844039917,2
96,5,0.135,0.55,0.904,2.397360324859619,2
97,5,0.126,0.55,0.904,2.8614940643310547,1
98,5,0.159,0.55,0.904,2.348480701446533,1
99,5,0.222,0.55,0.904,2.860959529876709,0
100,5,0.52,0.55,0.904,3.0562822818756104,12
101,5,0.079,0.55,0.904,2.982762575149536,0
102,5,0.25,0.55,0.904,3.0810387134552,1
103,5,0.499,0.55,0.904,2.469951868057251,4
104,5,0.386,0.55,0.904,2.788172960281372,4
105,5,0.134,0.55,0.904,3.056334972381592,0
106,5,0.141,0.55,0.904,3.300563097000122,2
107,5,0.256,0.55,0.904,2.592841863632202,1
108,5,0.09,0.55,0.904,2.7634668350219727,1
109,5,0.155,0.55,0.904,3.4467921257019043,2
110,5,0.117,0.55,0.904,3.373899459838867,1
111,5,0.862,0.55,0.904,2.665788173675537,0
112,5,0.057,0.55,0.904,2.7632622718811035,3
113,5,0.099,0.55,0.904,2.6659302711486816,0
114,5,0.238,0.55,0.904,2.3241982460021973,1
115,5,0.776,0.55,0.904,2.0792644023895264,5
116,5,0.823,0.55,0.904,2.7391207218170166,2
117,5,0.094,0.55,0.904,2.6412222385406494,9
118,5,0.172,0.55,0.904,3.6908810138702393,1
119,5,0.279,0.55,0.904,2.347914457321167,0
120,7,0.878,0.55,0.904,2.306645631790161,1
121,5,0.263,0.55,0.904,2.641125440597534,1
122,6,0.89,0.55,0.904,2.03898549079895,0
123,5,0.583,0.55,0.904,3.104909896850586,5
124,5,0.038,0.55,0.904,2.714322328567505,0
125,5,0.4,0.55,0.904,2.6898982524871826,0
126,5,0.032,0.55,0.904,3.3979554176330566,0
127,5,0.056,0.55,0.904,2.5682358741760254,1
128,5,0.314,0.55,0.904,2.2991957664489746,1
129,5,0.302,0.55,0.904,2.6902453899383545,6
130,6,0.894,0.55,0.904,2.6901962757110596,3
