accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.40299999713897705,906.9530029296875,0.0667,"[[24 19  1 24 36 44 25 38 37 46  8  8 26 43 14 15 27 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8399999737739563,451.5660095214844,0.279,"[[ 2 46 38 25 37 36 47  6 39 17 46 45 16 12 47 15 36 15 10  1 48 19 31 47
  42 16 35 19  9 20  1]]"
0.4090000092983246,814.3060302734375,0.0753,"[[39 44 18 11 39  5 29 39 41 30 31 21 10 44 14 12 11  8 13 48 32  8 21 41
  49  0  0  0  0  0  0]]"
0.8889999985694885,94.7239990234375,0.889,"[[39 42 45 33  8 32  3  4 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8700000047683716,970.2589721679688,0.1345,"[[25 22 38 47  1 11  1 27 41 14 24 26 16 26 38 44  1 34 24 10 33 30 44 45
  28 41 21 35 36 24 23]]"
0.9010000228881836,346.8240051269531,0.3897,"[[ 8 10 15 38 45 47  6 19 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8999999761581421,61.255001068115234,0.9,"[[42 33  7 36 42 27 16 41 38 34 22 36 12 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.3970000147819519,1312.7760009765625,0.06,"[[29 27 21 19 19  1 28 31  1 30 34 45 20 48 29 15 16 22 22 32  7 21 15  1
  23 39  5 23 12 32 35]]"
0.8840000033378601,457.010986328125,0.2901,"[[26 43 47  5  6 30  5 35 20 17 27 33 11 40  9 12 34 16 43  9 47 32 24 15
  24 13 47  1 13 37  2]]"
0.8379999995231628,267.3599853515625,0.4702,"[[33 30 12 18 26 42 42  1 31 44 21 32 44 11 15 29  3 14 38 39 33 36 35  7
  29  8 35  7 21 21 22]]"
0.4269999861717224,779.4190063476562,0.0822,"[[28 38 43 48  8 20 17 23 11 42 47 33 45 47 18 39 29  4 33  2 38  1 20 35
  46 38 26 45 42  4 11]]"
