sequence,nas_accuracy,nas_latency,nas_reward,trained_accuracy
"[33, 33, 5, 26, 1, 45, 2, 29, 49]",0.890999972820282,59.84700012207031,0.891,0.8518518805503845
"[2, 32, 26, 4, 20, 47, 14, 15, 49]",0.890999972820282,64.96700286865234,0.891,0.9236111044883728
"[14, 39, 4, 18, 42, 7, 35, 37, 49]",0.8899999856948853,64.5270004272461,0.89,0.9479166865348816
