Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.558,0.55,0.5583,2.519473075866699,5
2,5,0.471,0.55,0.5583,3.4236350059509277,11
3,5,0.843,0.55,0.843,2.1541478633880615,0
4,5,0.036,0.55,0.843,3.692068099975586,2
5,5,0.688,0.55,0.843,2.9347963333129883,2
6,6,0.88,0.55,0.88,2.385462999343872,1
7,5,0.103,0.55,0.88,2.934748649597168,2
8,5,0.045,0.55,0.88,2.2267611026763916,4
9,5,0.082,0.55,0.88,2.910348415374756,0
10,5,0.547,0.55,0.88,2.4712018966674805,2
11,5,0.345,0.55,0.88,2.5679144859313965,0
12,5,0.565,0.55,0.88,3.3979544639587402,1
13,5,0.193,0.55,0.88,2.738682270050049,1
14,5,0.253,0.55,0.88,3.228426694869995,0
15,5,0.878,0.55,0.88,2.3489248752593994,1
16,5,0.102,0.55,0.88,2.4954833984375,0
17,5,0.072,0.55,0.88,2.617598295211792,3
18,5,0.452,0.55,0.88,2.0066115856170654,0
19,5,0.631,0.55,0.88,2.4949049949645996,2
20,5,0.044,0.55,0.88,3.228499174118042,6
21,5,0.07,0.55,0.88,2.7642669677734375,2
22,5,0.12,0.55,0.88,3.008606433868408,0
23,5,0.147,0.55,0.88,2.007270336151123,5
24,5,0.082,0.55,0.88,2.95896577835083,1
25,5,0.207,0.55,0.88,2.8125174045562744,0
26,5,0.204,0.55,0.88,3.0823121070861816,3
27,5,0.262,0.55,0.88,3.398317337036133,0
28,5,0.137,0.55,0.88,2.6411094665527344,0
29,5,0.043,0.55,0.88,2.9836316108703613,0
30,5,0.376,0.55,0.88,2.983229875564575,2
31,5,0.186,0.55,0.88,2.861802339553833,4
32,5,0.65,0.55,0.88,2.8864290714263916,0
33,5,0.067,0.55,0.88,3.1779680252075195,1
34,5,0.283,0.55,0.88,2.8855671882629395,4
35,5,0.255,0.55,0.88,3.251709461212158,2
36,5,0.08,0.55,0.88,2.421802043914795,0
37,5,0.127,0.55,0.88,2.348839521408081,0
38,5,0.261,0.55,0.88,3.5935428142547607,0
39,5,0.369,0.55,0.88,2.8121118545532227,2
40,5,0.212,0.55,0.88,3.4716525077819824,1
41,5,0.696,0.55,0.88,2.6177051067352295,1
42,5,0.401,0.55,0.88,2.470924139022827,4
43,5,0.302,0.55,0.88,1.8844459056854248,1
44,5,0.628,0.55,0.88,2.202016592025757,0
45,5,0.203,0.55,0.88,2.372206687927246,1
46,5,0.787,0.55,0.88,1.8350530862808228,8
47,5,0.07,0.55,0.88,2.2265586853027344,5
48,5,0.89,0.55,0.89,2.5189452171325684,0
49,5,0.358,0.55,0.89,2.861039400100708,2
50,5,0.323,0.55,0.89,2.6659061908721924,1
51,5,0.357,0.55,0.89,3.2281882762908936,1
52,5,0.739,0.55,0.89,1.9826123714447021,1
53,5,0.244,0.55,0.89,3.1300790309906006,1
54,5,0.3,0.55,0.89,3.05692720413208,1
55,5,0.183,0.55,0.89,2.470564603805542,2
56,6,0.834,0.55,0.89,2.8535120487213135,1
57,5,0.405,0.55,0.89,2.9591829776763916,2
58,5,0.133,0.55,0.89,3.3007895946502686,4
59,5,0.253,0.55,0.89,2.3239247798919678,0
60,5,0.202,0.55,0.89,3.324841022491455,1
61,5,0.386,0.55,0.89,2.9587948322296143,1
62,6,0.838,0.55,0.89,2.0791237354278564,0
63,5,0.325,0.55,0.89,2.520007610321045,0
64,5,0.493,0.55,0.89,2.4463393688201904,4
65,5,0.173,0.55,0.89,3.2277920246124268,1
66,5,0.057,0.55,0.89,2.9830734729766846,0
67,5,0.219,0.55,0.89,1.6403226852416992,1
68,5,0.035,0.55,0.89,2.421419620513916,1
69,5,0.476,0.55,0.89,2.592644453048706,3
70,5,0.164,0.55,0.89,2.959495782852173,0
71,5,0.431,0.55,0.89,2.470802068710327,6
72,5,0.891,0.55,0.891,2.4463555812835693,10
73,5,0.54,0.55,0.891,3.3011505603790283,0
74,5,0.178,0.55,0.891,2.0068774223327637,0
75,5,0.288,0.55,0.891,3.2515785694122314,1
76,5,0.458,0.55,0.891,3.27643084526062,0
77,5,0.406,0.55,0.891,3.3492183685302734,2
78,5,0.06,0.55,0.891,2.3735485076904297,4
79,5,0.043,0.55,0.891,2.3983731269836426,8
80,5,0.085,0.55,0.891,2.9087698459625244,1
81,5,0.213,0.55,0.891,3.2284176349639893,1
82,5,0.091,0.55,0.891,3.2032337188720703,4
83,5,0.08,0.55,0.891,2.764174699783325,1
84,5,0.063,0.55,0.891,2.617306709289551,3
85,5,0.282,0.55,0.891,3.3499627113342285,0
86,5,0.133,0.55,0.891,2.8118395805358887,10
87,5,0.198,0.55,0.891,3.4472413063049316,5
88,5,0.425,0.55,0.891,3.374368667602539,3
89,5,0.524,0.55,0.891,3.2287583351135254,0
90,5,0.844,0.55,0.891,2.739488363265991,0
91,5,0.481,0.55,0.891,2.373687982559204,1
92,5,0.224,0.55,0.891,3.325768232345581,0
93,5,0.291,0.55,0.891,3.1058545112609863,3
94,5,0.057,0.55,0.891,2.933712959289551,2
95,5,0.089,0.55,0.891,3.5210204124450684,2
96,5,0.181,0.55,0.891,3.1545422077178955,2
97,5,0.162,0.55,0.891,3.2518372535705566,2
98,5,0.261,0.55,0.891,2.714319944381714,5
99,5,0.368,0.55,0.891,2.787327289581299,7
100,5,0.579,0.55,0.891,2.4215328693389893,0
101,5,0.134,0.55,0.891,2.568855047225952,1
102,5,0.182,0.55,0.891,3.2279281616210938,2
103,6,0.88,0.55,0.891,2.2027010917663574,0
104,5,0.301,0.55,0.891,2.6166775226593018,0
105,5,0.551,0.55,0.891,2.0071611404418945,3
106,5,0.047,0.55,0.891,3.5688114166259766,1
107,5,0.387,0.55,0.891,2.6663928031921387,0
108,5,0.15,0.55,0.891,2.7629570960998535,1
109,6,0.891,0.55,0.891,2.730224370956421,1
110,5,0.588,0.55,0.891,2.1526288986206055,0
111,5,0.062,0.55,0.891,1.9572818279266357,0
112,5,0.124,0.55,0.891,2.519639015197754,0
113,5,0.087,0.55,0.891,1.9094440937042236,0
114,5,0.392,0.55,0.891,3.1305553913116455,1
115,5,0.293,0.55,0.891,3.373770236968994,4
116,6,0.867,0.55,0.891,3.199146270751953,0
117,5,0.313,0.55,0.891,2.349045991897583,2
118,5,0.617,0.55,0.891,1.8119595050811768,0
119,5,0.125,0.55,0.891,3.1050820350646973,1
120,5,0.044,0.55,0.891,3.373030185699463,4
121,5,0.08,0.55,0.891,2.298598289489746,0
122,5,0.062,0.55,0.891,3.5199272632598877,0
123,5,0.21,0.55,0.891,2.397491931915283,1
124,5,0.098,0.55,0.891,2.2506449222564697,1
125,5,0.377,0.55,0.891,2.8861653804779053,5
126,5,0.749,0.55,0.891,2.8364241123199463,0
127,5,0.034,0.55,0.891,2.421630859375,0
128,5,0.218,0.55,0.891,2.4950084686279297,4
129,5,0.654,0.55,0.891,3.1774473190307617,0
130,5,0.647,0.55,0.891,2.3475325107574463,5
131,5,0.26,0.55,0.891,2.71376371383667,6
132,5,0.791,0.55,0.891,1.9334596395492554,7
133,5,0.075,0.55,0.891,2.9586665630340576,1
134,5,0.755,0.55,0.891,3.5194919109344482,5
135,5,0.494,0.55,0.891,2.861232280731201,1
136,5,0.873,0.55,0.891,1.6896600723266602,0
137,5,0.216,0.55,0.891,2.518275260925293,1
138,5,0.088,0.55,0.891,3.005537271499634,0
139,5,0.803,0.55,0.891,3.3005661964416504,0
140,5,0.06,0.55,0.891,3.5915112495422363,2
141,5,0.539,0.55,0.891,1.664209008216858,3
142,5,0.1,0.55,0.891,3.1036441326141357,1
143,5,0.173,0.55,0.891,3.079231023788452,1
144,5,0.884,0.55,0.891,2.3472647666931152,2
145,5,0.889,0.55,0.891,1.9818073511123657,2
146,5,0.552,0.55,0.891,2.835083484649658,0
147,5,0.128,0.55,0.891,2.7585036754608154,2
148,5,0.854,0.55,0.891,2.8812952041625977,10
149,5,0.651,0.55,0.891,2.883432388305664,1
150,5,0.347,0.55,0.891,2.3461294174194336,1
151,5,0.52,0.55,0.891,2.297996759414673,0
152,5,0.206,0.55,0.891,1.9817386865615845,2
153,5,0.045,0.55,0.891,3.001659870147705,1
154,5,0.045,0.55,0.891,3.149348735809326,11
155,5,0.087,0.55,0.891,2.734337091445923,1
156,5,0.235,0.55,0.891,3.246525287628174,2
157,5,0.443,0.55,0.891,2.7341089248657227,1
158,5,0.164,0.55,0.891,2.9512221813201904,7
159,5,0.415,0.55,0.891,3.4137139320373535,0
160,5,0.082,0.55,0.891,2.7817230224609375,3
161,5,0.581,0.55,0.891,2.756241798400879,1
162,5,0.124,0.55,0.891,2.8535044193267822,3
163,5,0.082,0.55,0.891,3.0721981525421143,2
164,5,0.186,0.55,0.891,3.1667938232421875,0
165,5,0.26,0.55,0.891,2.5856339931488037,2
166,5,0.05,0.55,0.891,2.2927398681640625,0
167,5,0.387,0.55,0.891,3.1601150035858154,4
168,5,0.332,0.55,0.891,3.0116777420043945,5
169,5,0.153,0.55,0.891,3.2602832317352295,2
170,5,0.109,0.55,0.891,2.984123468399048,2
171,5,0.22,0.55,0.891,3.3047034740448,2
172,5,0.403,0.55,0.891,2.1672444343566895,4
173,5,0.758,0.55,0.891,1.9264631271362305,0
174,5,0.228,0.55,0.891,1.825339674949646,0
175,5,0.298,0.55,0.891,2.0942845344543457,4
176,5,0.381,0.55,0.891,3.852332353591919,6
177,6,0.689,0.55,0.891,3.2552692890167236,5
178,5,0.214,0.55,0.891,1.5588057041168213,1
179,5,0.548,0.55,0.891,2.3644986152648926,1
180,5,0.274,0.55,0.891,2.9073646068573,2
181,5,0.312,0.55,0.891,2.3738980293273926,1
182,5,0.168,0.55,0.891,3.044994354248047,1
183,5,0.435,0.55,0.891,2.806506633758545,6
184,5,0.505,0.55,0.891,2.9507951736450195,0
185,5,0.322,0.55,0.891,2.764679193496704,2
186,5,0.517,0.55,0.891,2.971353769302368,7
187,5,0.417,0.55,0.891,2.785681962966919,0
188,5,0.263,0.55,0.891,2.9306411743164062,1
189,5,0.303,0.55,0.891,2.0860471725463867,9
190,5,0.183,0.55,0.891,2.8449361324310303,2
191,5,0.034,0.55,0.891,2.8247323036193848,38
192,5,0.148,0.55,0.891,1.9229059219360352,14
193,5,0.364,0.55,0.891,2.5512924194335938,6
194,5,0.255,0.55,0.891,2.7161715030670166,1
195,5,0.733,0.55,0.891,2.1955151557922363,12
196,5,0.148,0.55,0.891,2.534372568130493,60
197,5,0.268,0.55,0.891,2.0350966453552246,26
198,5,0.047,0.55,0.891,1.962276816368103,1
199,5,0.114,0.55,0.891,2.350261688232422,75
200,5,0.283,0.55,0.891,2.200460433959961,54
201,5,0.081,0.55,0.891,1.9859397411346436,128
202,3,0.155,0.55,0.891,1.9859397411346436,36
