model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0290,6.714,4,124.16,104.54,83.01,0.49,"[96, 257, 61, 38, 59, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0291,11.466,27,86.47,729.32,84.76,0.81,"[148, 298, 61, 78, 71, 382]","{""0"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0292,400.566,14,266.9,819.2,83.02,0.91,"[152, 96, 76, 172, 370, 382]","{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Dense"", 20, ""relu""], ""5"": [2, ""softmax""]}"
model_0293,4.096,10,55.72,110.59,82.53,0.51,"[259, 109, 83, 189, 183, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0294,8.583,10,47.3,98.3,86.9,0.51,"[231, 182, 41, 44, 332, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0295,26.778,140,90.49,738.32,90.4,0.84,"[110, 171, 240, 240, 137, 382]","{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0296,49.178,9,51.79,134.14,82.45,0.51,"[68, 31, 22, 88, 368, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Dense"", 16, ""relu""], ""5"": [2, ""softmax""]}"
model_0297,6.924,7,28.86,54.7,86.98,0.61,"[279, 227, 283, 132, 163, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0298,31.658,13,736.1,369.8,83.06,0.77,"[72, 254, 159, 126, 277, 382]","{""0"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0299,0.914,1,16.13,54.7,96.36,0.49,"[333, 224, 220, 353, 83, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0300,11.746,22,5.26,73.28,85.59,0.81,"[114, 100, 72, 300, 78, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0301,27.722,21,408.25,1048.58,84.95,0.81,"[140, 111, 43, 122, 161, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0302,20.781,9,33.85,84.18,89.67,0.76,"[243, 250, 338, 162, 73, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0303,7.81,21,1388.55,1054.5,83.82,0.86,"[174, 88, 18, 12, 303, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0304,0.676,2,28.05,107.18,84.01,0.69,"[209, 324, 330, 37, 335, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0305,6.874,5,155.14,94.15,82.08,0.76,"[93, 204, 124, 94, 297, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0306,1.126,1,16.14,54.7,82.15,0.59,"[261, 332, 12, 95, 245, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0307,15.758,12,71.36,276.77,89.74,0.75,"[278, 256, 30, 340, 355, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0308,8.746,70,,5715.36,87.1,0.84,"[169, 53, 29, 78, 78, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0309,3.288,13,251.08,819.2,82.74,0.67,"[258, 159, 156, 202, 275, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0310,3.665,8,214.57,583.46,85.91,0.51,"[232, 119, 259, 265, 275, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0311,6.122,6,91.72,285.77,97.47,0.72,"[29, 234, 117, 277, 292, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0312,4.906,5,145.63,139.39,84.39,0.49,"[131, 221, 282, 76, 313, 382]","{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0313,1.056,3,26.45,90.84,84.13,0.49,"[251, 74, 43, 306, 249, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0314,36.65,43,1027,2286.14,87.03,0.73,"[51, 349, 354, 316, 155, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0315,19.37,68,483.82,1474.56,87.4,0.73,"[109, 175, 357, 277, 353, 382]","{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0316,3.71,5,28.2,73.73,84.84,0.64,"[210, 208, 114, 187, 245, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0317,22.41,36,263.98,884.74,84.4,0.83,"[103, 170, 107, 9, 124, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0318,4.376,1,17.64,54.7,82.74,0.76,"[251, 12, 8, 339, 176, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0319,4.968,2,17.34,54.7,79.8,0.76,"[359, 46, 106, 73, 82, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0320,10.898,9,513.72,180.22,82.98,0.51,"[128, 53, 332, 207, 327, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0321,6.682,29,85.73,786.43,81.92,0.51,"[75, 248, 9, 172, 20, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0322,3.546,12,444.77,335.42,85,0.52,"[161, 60, 197, 239, 288, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0323,47.848,19,34.53,109.92,104.34,0.51,"[351, 79, 287, 172, 290, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0324,326.378,73,3613.24,793.8,89.96,0.51,"[38, 327, 149, 147, 157, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0325,4.25,5,165.75,109.92,81.81,0.78,"[80, 95, 59, 321, 236, 382]","{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0326,12.24,4,41.21,110.59,82.93,0.49,"[257, 116, 269, 187, 178, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0327,4.01,5,35.31,729.32,83.13,0.76,"[156, 326, 9, 15, 194, 382]","{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0328,0.638,1,22.74,54.7,82.08,0.51,"[261, 209, 13, 228, 350, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0329,3.56,1,30.6,54.7,82.03,0.7,"[191, 54, 57, 131, 240, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0330,19.1,2,32.97,54.7,81.78,0.49,"[297, 53, 155, 199, 374, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 28, ""relu""], ""5"": [2, ""softmax""]}"
model_0331,1.549,1,10.71,54.7,82.92,0.8,"[324, 340, 359, 144, 215, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0332,3.999,3,12.04,54.7,82.19,0.77,"[190, 305, 99, 82, 50, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0333,17.802,7,155.22,147.92,81.77,0.62,"[167, 251, 175, 184, 154, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0334,14.304,29,346.58,830.3,85.66,0.73,"[356, 87, 97, 42, 247, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0335,0.122,1,5.5,61.44,95.84,0.51,"[330, 312, 357, 301, 246, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0336,4.858,21,1404.16,344.06,86.01,0.75,"[127, 51, 306, 252, 77, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0337,20.25,23,216.94,729.32,86.01,0.8,"[179, 170, 295, 38, 271, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
