model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_0070,2665.586,204.85,327.68,133.32,0.5,"[3, 33, 31, 15, 18, 45, 27, 3, 30, 16, 45, 24, 32, 19, 39, 7, 44, 31, 22, 16, 18, 42, 29, 30, 41, 6, 21, 29, 49]",29,"{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""3"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""10"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""11"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""13"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""16"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""17"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""18"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""19"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""20"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""21"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""22"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""23"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""24"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""25"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""26"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""27"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""28"": [""end"", 0.001, 2, ""softmax""]}"
model_0071,1284.642,,0.0,1072.41,,"[15, 30, 45, 23, 15, 18, 48, 6, 30, 29, 36, 21, 10, 49]",14,"{""0"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""3"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""6"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""7"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""12"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0072,209.926,0.0,2016.0,108.84,,"[41, 37, 19, 43, 43, 31, 2, 11, 41, 21, 8, 43, 31, 49]",14,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""3"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""4"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""6"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""7"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""9"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""10"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""11"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0073,820.422,236.46,680.19,108.55,0.5,"[39, 47, 42, 14, 1, 42, 18, 14, 16, 39, 39, 24, 9, 36, 49]",15,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""4"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""6"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""7"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""8"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""end"", 0.001, 2, ""softmax""]}"
model_0074,2077.298,,0.0,398.99,,"[3, 21, 20, 20, 14, 46, 14, 45, 34, 15, 28, 26, 2, 17, 13, 26, 39, 27, 6, 15, 29, 49]",22,"{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""2"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""6"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""7"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""13"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""14"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""18"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""19"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""20"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""21"": [""end"", 0.001, 2, ""softmax""]}"
model_0075,420.31,116.92,631.04,118.63,0.5,"[25, 43, 28, 16, 31, 20, 13, 28, 43, 38, 18, 48, 47, 6, 33, 11, 28, 8, 49]",19,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""3"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""5"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""6"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""8"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""11"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""12"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""13"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""15"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""17"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""18"": [""end"", 0.001, 2, ""softmax""]}"
model_0076,161.498,,0.0,172.57,,"[28, 39, 36, 29, 3, 22, 7, 2, 28, 5, 41, 41, 49]",13,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""end"", 0.001, 2, ""softmax""]}"
model_0077,2584.21,116.92,264.19,111.34,0.5,"[8, 33, 37, 33, 13, 45, 3, 26, 2, 26, 9, 22, 29, 1, 35, 22, 23, 18, 49]",19,"{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""11"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""16"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""18"": [""end"", 0.001, 2, ""softmax""]}"
model_0078,1597.25,,0.0,120.14,,"[15, 40, 18, 45, 48, 6, 16, 7, 18, 7, 12, 37, 15, 26, 8, 45, 19, 24, 49]",19,"{""0"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""2"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""3"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""4"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""5"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""7"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""9"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""12"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""15"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""16"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""18"": [""end"", 0.001, 2, ""softmax""]}"
model_0079,4649.922000000001,,0.0,2059.55,,"[13, 13, 21, 23, 16, 13, 10, 41, 25, 34, 15, 13, 17, 46, 8, 27, 34, 34, 17, 29, 24, 7, 9, 12, 49]",25,"{""0"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""2"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""3"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""6"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""10"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""12"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""13"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""14"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""17"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""18"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""20"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""21"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""22"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""23"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""24"": [""end"", 0.001, 2, ""softmax""]}"
model_0080,5566.14,,0.0,385.87,,"[35, 18, 23, 16, 28, 33, 11, 7, 12, 39, 30, 22, 16, 45, 35, 23, 23, 2, 47, 31, 48, 16, 17, 30, 48, 46, 33, 41, 33, 9, 49]",31,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""2"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""3"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""6"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""12"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""13"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""16"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""18"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""19"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""20"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""21"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""22"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""23"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""24"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""25"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""26"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""27"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""28"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""29"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""30"": [""end"", 0.001, 2, ""softmax""]}"
model_0081,136.018,70.37,647.3,128.99,0.5,"[14, 35, 26, 38, 40, 48, 7, 13, 28, 1, 1, 41, 18, 18, 25, 1, 5, 26, 39, 49]",20,"{""0"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""5"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""6"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""10"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""13"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""15"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""16"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""18"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""19"": [""end"", 0.001, 2, ""softmax""]}"
model_0082,4986.322,,0.0,551.73,,"[3, 43, 45, 21, 6, 43, 17, 43, 23, 24, 43, 7, 9, 14, 20, 42, 44, 20, 11, 31, 32, 12, 46, 2, 15, 16, 46, 49]",28,"{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""3"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""7"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""8"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""10"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""11"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""13"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""14"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""16"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""17"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""18"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""20"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""21"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""22"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""23"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""24"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""25"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""26"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""27"": [""end"", 0.001, 2, ""softmax""]}"
model_0083,131.69799999999998,,0.0,200.97,,"[13, 35, 7, 3, 28, 25, 11, 27, 12, 11, 31, 27, 49]",13,"{""0"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""6"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""9"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""end"", 0.001, 2, ""softmax""]}"
model_0084,339.778,,0.0,285.4,,"[17, 46, 3, 29, 21, 31, 38, 29, 6, 27, 28, 27, 40, 9, 8, 41, 23, 4, 14, 32, 49]",21,"{""0"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""13"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""14"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""16"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""18"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""20"": [""end"", 0.001, 2, ""softmax""]}"
model_0085,724.252,285.91,279.04,119.93,0.5,"[29, 6, 4, 24, 39, 45, 32, 28, 44, 48, 40, 48, 11, 5, 27, 20, 48, 7, 29, 47, 29, 22, 8, 49]",24,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""8"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""9"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""11"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""12"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""16"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""17"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""18"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""19"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""20"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""21"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""22"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""23"": [""end"", 0.001, 2, ""softmax""]}"
model_0086,1515.66,191.95,1310.72,114.15,0.5,"[42, 18, 34, 24, 7, 27, 23, 41, 34, 36, 36, 49]",12,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""3"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""end"", 0.001, 2, ""softmax""]}"
model_0087,812.034,,0.0,157.82,,"[15, 48, 48, 20, 40, 14, 10, 23, 5, 5, 24, 49]",12,"{""0"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""2"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""3"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""5"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""7"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""9"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""10"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""11"": [""end"", 0.001, 2, ""softmax""]}"
