Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.281,0.55,0.2812,2.395054817199707,0
2,5,0.05,0.55,0.2812,3.322319507598877,1
3,5,0.765,0.55,0.7654,1.9316343069076538,2
4,5,0.296,0.55,0.7654,3.0295255184173584,2
5,5,0.636,0.55,0.7654,2.9324088096618652,2
6,5,0.276,0.55,0.7654,3.2741007804870605,2
7,5,0.108,0.55,0.7654,2.0067358016967773,3
8,5,0.357,0.55,0.7654,2.6397387981414795,1
9,5,0.835,0.55,0.8351,2.9092650413513184,5
10,5,0.098,0.55,0.8351,2.7615528106689453,2
11,5,0.756,0.55,0.8351,2.1767237186431885,5
12,5,0.141,0.55,0.8351,3.272855758666992,1
13,5,0.42,0.55,0.8351,3.0541727542877197,0
14,5,0.11,0.55,0.8351,2.6881606578826904,0
15,5,0.506,0.55,0.8351,2.9586009979248047,0
16,6,0.862,0.55,0.862,2.4032163619995117,5
17,5,0.88,0.55,0.88,2.5904693603515625,3
18,5,0.147,0.55,0.88,1.8101961612701416,0
19,5,0.267,0.55,0.88,2.932805299758911,1
20,5,0.092,0.55,0.88,2.3958563804626465,6
21,5,0.097,0.55,0.88,3.2744650840759277,5
22,5,0.771,0.55,0.88,2.6877095699310303,0
23,5,0.285,0.55,0.88,1.9573920965194702,0
24,5,0.195,0.55,0.88,3.0776565074920654,1
25,5,0.471,0.55,0.88,3.127033233642578,5
26,5,0.489,0.55,0.88,3.3221259117126465,0
27,5,0.576,0.55,0.88,3.0553858280181885,0
28,5,0.077,0.55,0.88,2.27365779876709,0
29,5,0.038,0.55,0.88,2.518350124359131,5
30,6,0.87,0.55,0.88,3.0136537551879883,1
31,5,0.5,0.55,0.88,2.24992036819458,3
32,5,0.885,0.55,0.885,2.566573143005371,1
33,5,0.305,0.55,0.885,1.9570379257202148,0
34,5,0.673,0.55,0.885,3.0543360710144043,3
35,5,0.327,0.55,0.885,2.2985527515411377,1
36,5,0.174,0.55,0.885,2.66524338722229,7
37,5,0.712,0.55,0.885,1.8107507228851318,5
38,5,0.22,0.55,0.885,2.762600898742676,1
39,5,0.249,0.55,0.885,3.055311441421509,4
40,5,0.722,0.55,0.885,2.8103694915771484,1
41,5,0.48,0.55,0.885,3.2734627723693848,0
42,5,0.722,0.55,0.885,3.5915751457214355,1
43,5,0.096,0.55,0.885,2.397087574005127,3
44,5,0.073,0.55,0.885,2.9815502166748047,3
45,5,0.193,0.55,0.885,3.152211904525757,0
46,5,0.224,0.55,0.885,2.786923408508301,0
47,5,0.339,0.55,0.885,3.542762041091919,5
48,5,0.182,0.55,0.885,2.738612413406372,1
49,5,0.624,0.55,0.885,2.884404420852661,6
50,5,0.86,0.55,0.885,3.3712430000305176,5
51,5,0.176,0.55,0.885,2.6641180515289307,2
52,5,0.665,0.55,0.885,2.445673704147339,0
53,5,0.038,0.55,0.885,2.6397695541381836,0
54,5,0.295,0.55,0.885,2.4927279949188232,3
55,5,0.265,0.55,0.885,3.4897541999816895,3
56,5,0.09,0.55,0.885,2.786619186401367,2
57,5,0.442,0.55,0.885,2.8092663288116455,9
58,5,0.489,0.55,0.885,2.224919557571411,0
59,5,0.036,0.55,0.885,2.810415267944336,1
60,5,0.057,0.55,0.885,2.737258195877075,2
61,5,0.44,0.55,0.885,3.1248507499694824,0
62,5,0.149,0.55,0.885,2.61489200592041,3
63,5,0.522,0.55,0.885,2.8573286533355713,0
64,5,0.274,0.55,0.885,2.9289286136627197,2
65,5,0.035,0.55,0.885,2.71219801902771,0
66,5,0.112,0.55,0.885,2.1767091751098633,4
67,5,0.447,0.55,0.885,2.5862643718719482,1
68,5,0.889,0.55,0.889,3.1470065116882324,0
69,5,0.045,0.55,0.889,2.9512205123901367,1
70,5,0.893,0.55,0.893,2.6387133598327637,5
71,5,0.54,0.55,0.893,3.0985910892486572,0
72,5,0.309,0.55,0.893,3.09832763671875,3
73,5,0.059,0.55,0.893,3.122680187225342,2
74,5,0.069,0.55,0.893,3.0494298934936523,2
75,5,0.178,0.55,0.893,2.2217345237731934,2
76,5,0.472,0.55,0.893,2.974637985229492,1
77,5,0.233,0.55,0.893,3.3409080505371094,4
78,5,0.498,0.55,0.893,3.192976713180542,3
79,5,0.819,0.55,0.893,2.1014316082000732,1
80,5,0.7,0.55,0.893,3.2186615467071533,1
81,5,0.422,0.55,0.893,2.6587274074554443,0
82,5,0.16,0.55,0.893,3.7704415321350098,2
83,5,0.263,0.55,0.893,2.197575807571411,4
84,5,0.776,0.55,0.893,2.26977276802063,0
85,5,0.888,0.55,0.893,2.6846070289611816,0
86,5,0.481,0.55,0.893,2.808367967605591,1
87,5,0.256,0.55,0.893,3.2658848762512207,0
88,5,0.314,0.55,0.893,2.2211406230926514,1
89,5,0.89,0.55,0.893,2.272078037261963,1
90,5,0.055,0.55,0.893,3.312680721282959,1
91,5,0.5,0.55,0.893,2.9462802410125732,0
92,5,0.617,0.55,0.893,2.732846736907959,6
93,5,0.896,0.55,0.896,2.4192638397216797,4
94,5,0.047,0.55,0.896,3.309980869293213,1
95,5,0.075,0.55,0.896,2.9009547233581543,9
96,5,0.424,0.55,0.896,2.5357818603515625,2
97,5,0.231,0.55,0.896,3.0445313453674316,0
98,5,0.255,0.55,0.896,2.975303888320923,1
99,5,0.146,0.55,0.896,3.336580753326416,3
100,5,0.329,0.55,0.896,2.9208922386169434,0
101,5,0.649,0.55,0.896,1.9542526006698608,1
102,5,0.473,0.55,0.896,3.1145284175872803,0
103,5,0.34,0.55,0.896,2.919022560119629,4
104,5,0.305,0.55,0.896,2.899665594100952,1
105,5,0.542,0.55,0.896,2.5560898780822754,8
106,5,0.333,0.55,0.896,3.0560333728790283,1
107,5,0.116,0.55,0.896,3.2346129417419434,0
108,5,0.822,0.55,0.896,2.558828830718994,5
109,6,0.892,0.55,0.896,2.491499662399292,0
110,5,0.061,0.55,0.896,3.333911180496216,3
111,5,0.095,0.55,0.896,1.9557607173919678,0
112,5,0.112,0.55,0.896,3.2182419300079346,1
113,5,0.077,0.55,0.896,2.83620285987854,2
114,6,0.796,0.55,0.896,2.4384937286376953,6
115,5,0.377,0.55,0.896,3.159128189086914,2
116,5,0.717,0.55,0.896,2.747431516647339,5
117,5,0.056,0.55,0.896,3.008009433746338,0
118,5,0.616,0.55,0.896,2.4273147583007812,3
119,6,0.756,0.55,0.896,2.0497004985809326,1
120,5,0.306,0.55,0.896,1.994436502456665,2
121,5,0.728,0.55,0.896,2.943530321121216,0
122,5,0.144,0.55,0.896,2.1100637912750244,3
123,5,0.484,0.55,0.896,2.8532423973083496,6
124,5,0.322,0.55,0.896,2.238241195678711,0
125,5,0.106,0.55,0.896,2.996171712875366,0
126,5,0.539,0.55,0.896,2.9972946643829346,1
127,5,0.064,0.55,0.896,2.3668010234832764,2
128,5,0.707,0.55,0.896,3.0029687881469727,1
129,5,0.411,0.55,0.896,2.780491590499878,0
130,5,0.874,0.55,0.896,2.180299997329712,8
131,5,0.561,0.55,0.896,2.799163579940796,5
132,5,0.42,0.55,0.896,2.625793933868408,5
133,5,0.463,0.55,0.896,2.972681760787964,0
134,5,0.153,0.55,0.896,2.1635589599609375,0
135,5,0.349,0.55,0.896,2.442960262298584,3
136,5,0.606,0.55,0.896,2.4480087757110596,13
137,5,0.605,0.55,0.896,2.3737285137176514,1
138,6,0.644,0.55,0.896,1.9762359857559204,7
139,5,0.088,0.55,0.896,2.3001842498779297,3
140,5,0.492,0.55,0.896,2.413393497467041,19
141,5,0.137,0.55,0.896,2.45782208442688,10
142,6,0.76,0.55,0.896,2.1666152477264404,0
143,5,0.586,0.55,0.896,2.009401798248291,1
