sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[11 23 34 22 10  2 36 42 33 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4020000100135803,902.333984375,0.0312,0.08864000000000001,2.395054817199707,5,"[0.55, 0.2812]","(0.41, 102.06, 0.2812)"
"[[23  3 21 36  7 36  8  3 12 21 36 18 23 21 19 27 37 33  5 25 24 28 26 43
  44 26  1  3 49  0  0]]",0.40799999237060547,1146.845947265625,0.0286,0.036660000000000005,3.322319507598877,5,"[0.55, 0.0499]","(0.41, 102.06, 0.2812)"
"[[22 18 30 42 22  7  3 44 31 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40299999713897705,929.4639892578125,0.0304,0.31953999999999994,1.9316343069076538,5,"[0.55, 0.7654]","(0.865, 79.107, 0.7654)"
"[[22 16 20 40 48 15 15 42 19 17 15 10 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4020000100135803,995.1069946289062,0.0283,0.08653999999999999,3.0295255184173584,5,"[0.55, 0.2958]","(0.865, 79.107, 0.7654)"
"[[17 42 27 24 44 16  5  1  6 11 43 10 16 15 14 12 33 47  6 13 29 48 45  1
  49  0  0  0  0  0  0]]",0.4020000100135803,876.1599731445312,0.0321,0.16676000000000002,2.9324088096618652,5,"[0.55, 0.636]","(0.865, 79.107, 0.7654)"
"[[36  5  3  2 26 37 18  6 13 11 21 39  1 19 29 18 12 21 45 44 16 11 12 32
   2 19 33  1 46 23 49]]",0.8500000238418579,526.3469848632812,0.113,0.09752000000000001,3.2741007804870605,5,"[0.55, 0.2756]","(0.865, 79.107, 0.7654)"
"[[34 27  4  1 38 22  5 32 32 17 31 23 23 21 31  2  9 39  4 30  6  3  9 26
  17 22  6 35 39 35  7]]",0.8809999823570251,568.9849853515625,0.1084,0.06298,2.0067358016967773,5,"[0.55, 0.1084]","(0.865, 79.107, 0.7654)"
"[[ 7  1 27  4  4  9 39 25 21  7 23 45  7 18 47 32 29 18 46  9 44 20 44 17
   1 24  1 24  7 14 42]]",0.8949999809265137,175.35499572753906,0.3573,0.1131,2.6397387981414795,5,"[0.55, 0.3573]","(0.865, 79.107, 0.7654)"
"[[39 33 27  5 21 26  1 34 30  3  5 27 23 36 43 10 16 28  1  2 34 11 48 14
  40 44 16 36 17 12 17]]",0.41100001335144043,239.46299743652344,0.1201,0.24430000000000002,2.9092650413513184,5,"[0.55, 0.8351]","(0.876, 73.425, 0.8351)"
"[[35 28 44 19 39 47  9 26 11 23 44 45 48 15 42  6 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4050000011920929,932.4539794921875,0.0304,0.044700000000000004,2.7615528106689453,5,"[0.55, 0.0985]","(0.876, 73.425, 0.8351)"
"[[ 4  5 44 25 25 40  7 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8370000123977661,160.07200622558594,0.366,0.24302,2.1767237186431885,5,"[0.55, 0.7562]","(0.876, 73.425, 0.8351)"
"[[14  9 29 18 26 46 19 13  4  4 46 38 30 24  6  4 19 38 43  9 15  1 46 49
   0  0  0  0  0  0  0]]",0.4950000047683716,448.6050109863281,0.0772,0.061660000000000006,3.272855758666992,5,"[0.55, 0.1411]","(0.876, 73.425, 0.8351)"
"[[39 39 46  9 36  1 46 45 16 45 13 42  1 39 44 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.7149999737739563,733.4739990234375,0.0682,0.15755999999999998,3.0541727542877197,5,"[0.55, 0.4196]","(0.876, 73.425, 0.8351)"
"[[32 28 32  3 18 15 14 32 15  3 19  3 47 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.45100000500679016,286.63800048828125,0.1101,0.04816,2.6881606578826904,5,"[0.55, 0.1101]","(0.876, 73.425, 0.8351)"
"[[10 10 27 21 46  9 41 23 38 39 44  1 10 48 48  1 14 11 30 24 30 19 15 21
   4  1  6 11  9  7 23]]",0.8889999985694885,176.31199645996094,0.353,0.20750000000000002,2.9586009979248047,5,"[0.55, 0.5059]","(0.876, 73.425, 0.8351)"
"[[31 44 30 17  2  3 44 11 16  7 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.6520000100135803,451.24200439453125,0.1011,0.1907333333333333,2.4032163619995117,6,"[0.55, 0.862]","(0.862, 61.248, 0.862)"
"[[35 15 28 18 35 11 35 46  9 33 21 26 32 13 20  9 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,925.5819702148438,0.0311,0.30301999999999996,2.5904693603515625,5,"[0.55, 0.88]","(0.88, 69.899, 0.88)"
"[[39 11 45 47 28 11 39 13 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.414000004529953,822.6110229492188,0.0352,0.061020000000000005,1.8101961612701416,5,"[0.55, 0.1469]","(0.88, 69.899, 0.88)"
"[[21 30 48  1 33 35 42 46 21 46  8 41 48 35  9 42 45 22 15 21  7  1 15 24
  44 26 33  3 32 33 12]]",0.40299999713897705,680.39697265625,0.0415,0.11279999999999998,2.932805299758911,5,"[0.55, 0.2672]","(0.88, 69.899, 0.88)"
