model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_011,2.474,,,,0.75,"[175, 345, 2, 345, 382]",5,"{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_012,0.495,,,,0.73,"[293, 308, 10, 198, 382]",5,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_013,15.81,,,,0.78,"[48, 170, 199, 89, 161, 382]",6,"{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_014,8.769,,,,0.79,"[235, 142, 248, 101, 2, 382]",6,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_015,5.234,,,,0.77,"[139, 54, 264, 13, 115, 16, 382]",7,"{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_016,3.222,,,,0.51,"[289, 257, 123, 84, 269, 34, 382]",7,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_017,5.761,,,,0.77,"[269, 175, 200, 2, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_018,262.344,,,,0.51,"[329, 111, 217, 382]",4,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_019,8.832,,,,0.51,"[189, 73, 337, 116, 223, 382]",6,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_020,109.89,,,,0.85,"[40, 357, 122, 382]",4,"{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
