model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_107,12.225999999999999,,,,0.51,"[75, 135, 56, 189, 45, 41, 315, 338, 131, 304, 382]",11,"{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""8"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""10"": [2, ""softmax""]}"
model_108,1.1059999999999999,,,,0.51,"[25, 45, 290, 41, 198, 209, 270, 346, 382]",9,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""8"": [2, ""softmax""]}"
model_109,22.305999999999997,,,,0.51,"[125, 113, 243, 126, 382]",5,"{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_110,13.194,,,,0.51,"[101, 304, 328, 183, 86, 84, 180, 10, 294, 1, 24, 382]",12,"{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""6"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""7"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""8"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""9"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""10"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""11"": [2, ""softmax""]}"
model_111,17.625,,,,0.49,"[193, 17, 100, 67, 165, 382]",6,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_112,2.498,,,,0.62,"[176, 42, 345, 273, 44, 207, 382]",7,"{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_113,7.6739999999999995,,,,0.51,"[96, 38, 46, 51, 235, 318, 163, 232, 156, 5, 36, 204, 382]",13,"{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""8"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""9"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""10"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""11"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""12"": [2, ""softmax""]}"
model_114,3.7060000000000004,,,,0.51,"[152, 187, 310, 209, 57, 351, 382]",7,"{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_115,2.434,,,,0.49,"[119, 181, 359, 311, 303, 382]",6,"{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_116,7.247999999999999,,,,0.85,"[320, 77, 4, 340, 234, 174, 382]",7,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_117,6.553999999999999,,,,0.49,"[28, 85, 55, 291, 17, 216, 1, 269, 179, 382]",10,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""6"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""8"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_118,10.927999999999999,,,,0.83,"[274, 204, 74, 382]",4,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_119,66.37,,,,0.84,"[37, 246, 138, 382]",4,"{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
model_120,14.866,,,,0.78,"[142, 174, 196, 194, 3, 248, 382]",7,"{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_121,4.216,,,,0.51,"[181, 60, 315, 289, 3, 188, 113, 188, 79, 20, 152, 120, 382]",13,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""6"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""8"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""9"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""10"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""11"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""12"": [2, ""softmax""]}"
model_122,196.80200000000002,,,,0.64,"[74, 326, 295, 382]",4,"{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_123,2.343,,,,0.51,"[192, 311, 8, 248, 86, 338, 256, 192, 240, 149, 382]",11,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""7"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""9"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_124,3.842,,,,0.51,"[107, 259, 335, 382]",4,"{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_125,2.6660000000000004,,,,0.78,"[21, 24, 346, 56, 74, 249, 379, 382]",8,"{""0"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""6"": [""Dense"", 40, ""sigmoid""], ""7"": [2, ""softmax""]}"
model_126,11.922,,,,0.84,"[128, 122, 25, 104, 236, 197, 382]",7,"{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_127,25.545,,,,0.49,"[343, 326, 351, 208, 211, 53, 121, 27, 282, 278, 158, 133, 73, 140, 382]",15,"{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""9"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""10"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""11"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""12"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""13"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""14"": [2, ""softmax""]}"
model_128,5.648,,,,0.51,"[331, 90, 95, 271, 304, 247, 85, 382]",8,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_129,6.642,,,,0.82,"[52, 358, 117, 129, 382]",5,"{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_130,9.205,,,,0.49,"[301, 243, 359, 122, 29, 382]",6,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_131,36.512,,,,0.83,"[215, 174, 256, 382]",4,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [2, ""softmax""]}"
model_132,6.352,,,,0.49,"[297, 135, 73, 259, 241, 207, 120, 41, 28, 167, 382]",11,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""7"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""8"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""9"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_133,133.49,,,,0.51,"[160, 325, 231, 178, 232, 124, 382]",7,"{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_134,7.656000000000001,,,,0.8,"[284, 57, 98, 79, 86, 318, 382]",7,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
model_135,3.2960000000000003,,,,0.51,"[320, 15, 276, 98, 305, 323, 315, 382]",8,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_136,3.008,,,,0.63,"[289, 46, 118, 224, 17, 68, 382]",7,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_137,11.879000000000001,,,,0.49,"[238, 243, 94, 183, 337, 124, 167, 200, 156, 296, 235, 348, 39, 200, 382]",15,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""6"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""8"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""10"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""11"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""12"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""13"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""14"": [2, ""softmax""]}"
model_138,4.946000000000001,,,,0.51,"[8, 301, 128, 50, 28, 290, 317, 208, 192, 382]",10,"{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""9"": [2, ""softmax""]}"
model_139,4.474,,,,0.82,"[143, 96, 228, 360, 382]",5,"{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_140,32.056999999999995,,,,0.8,"[272, 106, 146, 134, 205, 382]",6,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_141,120.4,,,,0.86,"[316, 160, 195, 120, 382]",5,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_142,22.97,,,,0.79,"[72, 123, 75, 144, 194, 382]",6,"{""0"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_143,15.168,,,,0.76,"[263, 140, 242, 78, 280, 171, 222, 82, 130, 382]",10,"{""0"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""7"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""8"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""9"": [2, ""softmax""]}"
model_144,13.034,,,,0.51,"[116, 201, 175, 195, 257, 2, 382]",7,"{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [2, ""softmax""]}"
