Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.868,0.55,0.8675,2.24979305267334,0
2,5,0.862,0.55,0.8675,2.3711800575256348,5
3,5,0.584,0.55,0.8675,2.2511885166168213,5
4,7,0.895,0.55,0.8952,2.7078166007995605,5
5,5,0.895,0.55,0.8952,2.2513580322265625,2
6,5,0.812,0.55,0.8952,2.470310926437378,1
7,5,0.93,0.55,0.9295,2.8859753608703613,1
8,5,0.896,0.55,0.9295,3.3749077320098877,8
9,6,0.941,0.55,0.9414,2.568044424057007,1
10,5,0.895,0.55,0.9414,2.7886791229248047,2
11,6,0.752,0.55,0.9414,3.057245969772339,4
12,5,0.92,0.55,0.9414,2.5435593128204346,0
13,6,0.925,0.55,0.9414,2.8323962688446045,0
14,8,0.938,0.55,0.9414,2.6292872428894043,2
15,5,0.557,0.55,0.9414,2.4707062244415283,0
16,5,0.802,0.55,0.9414,2.2750942707061768,0
17,5,0.873,0.55,0.9414,3.009016275405884,1
18,5,0.808,0.55,0.9414,3.3503406047821045,0
19,5,0.926,0.55,0.9414,2.8124451637268066,2
20,6,0.848,0.55,0.9414,2.7717392444610596,0
21,7,0.929,0.55,0.9414,2.28971529006958,4
22,6,0.892,0.55,0.9414,3.3622939586639404,0
23,5,0.92,0.55,0.9414,2.6658518314361572,14
24,5,0.92,0.55,0.9414,1.8353521823883057,0
25,5,0.877,0.55,0.9414,1.7379754781723022,13
26,5,0.579,0.55,0.9414,2.3485238552093506,2
27,5,0.932,0.55,0.9414,2.3978281021118164,1
28,8,0.935,0.55,0.9414,2.3390138149261475,0
29,8,0.825,0.55,0.9414,2.568722724914551,1
30,5,0.791,0.55,0.9414,2.5925521850585938,2
31,5,0.708,0.55,0.9414,1.762422800064087,1
32,7,0.876,0.55,0.9414,2.812554121017456,1
33,5,0.907,0.55,0.9414,2.6170148849487305,2
34,6,0.91,0.55,0.9414,2.181919813156128,0
35,5,0.935,0.55,0.9414,2.860300064086914,1
36,5,0.894,0.55,0.9414,2.762238025665283,0
37,7,0.797,0.55,0.9414,2.2014713287353516,0
38,6,0.927,0.55,0.9414,3.2134788036346436,1
39,6,0.866,0.55,0.9414,2.7271502017974854,1
40,5,0.737,0.55,0.9414,2.489280939102173,5
41,6,0.864,0.55,0.9414,3.2019739151000977,1
42,5,0.884,0.55,0.9414,1.8490703105926514,1
43,5,0.875,0.55,0.9414,2.6459524631500244,0
44,6,0.785,0.55,0.9414,2.653299331665039,0
45,13,0.934,0.55,0.9414,2.67848801612854,1
46,5,0.918,0.55,0.9414,3.048306465148926,4
47,12,0.94,0.55,0.9414,2.3667116165161133,1
48,5,0.909,0.55,0.9414,1.9454759359359741,0
49,9,0.932,0.55,0.9414,1.5012078285217285,0
50,12,0.925,0.55,0.9414,1.2912791967391968,1
51,20,0.921,0.55,0.9414,1.1684997081756592,0
52,10,0.914,0.55,0.9414,1.5787198543548584,0
53,6,0.933,0.55,0.9414,2.098637104034424,3
54,15,0.924,0.55,0.9414,2.0458545684814453,1
55,5,0.863,0.55,0.9414,1.7769418954849243,1
56,5,0.877,0.55,0.9414,1.2417078018188477,13
57,1,0.872,0.55,0.9414,1.2417078018188477,1
