sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[42 15  1 47 22  9  1  4 20  5 42 11 42  9  4 15  9 10 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41499999165534973,928.9669799804688,0.4334,0.46625000000000005,3.398226499557495,5,"[0.55, 0.8576]","(0.86, 239.321, 0.8576)"
"[[ 7 18 21 12 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4009999930858612,878.885009765625,0.4488,0.5123125,2.452409267425537,6,"[0.55, 0.9049]","(0.829, 95.174, 0.9049)"
"[[27 31  6  2 42 40 43 30 18 17 35 20  2  6 11 34 26  1 44 15 45 31 28  1
  35 39 20  5 21 48 31]]",0.4,1000.0,0.4,0.5665777777777777,2.2695178985595703,6,"[0.55, 0.8844]","(0.829, 95.174, 0.9049)"
"[[16 12 23 39 36 18 28 41 29 33 21 23 34 26 37 39  1 35 14 42 32 33  6 37
  16  8 27 18 36  1 35]]",0.4,1000.0,0.4,0.5193818181818183,3.365736961364746,6,"[0.55, 0.8911]","(0.829, 95.174, 0.9049)"
"[[26 43 37 10 15 22 44 33 47 25 42 33  1 36 13  7 17  1 15 20 43 30 33 49
   0  0  0  0  0  0  0]]",0.4950000047683716,962.1439819335938,0.4468,0.5009888888888888,2.851816415786743,5,"[0.55, 0.7893]","(0.829, 95.174, 0.9049)"
"[[23 39 12  4 19  6 43 15 44 30 37 48  8 47 25  5 12 22  3 17  3 17 13 41
  49  0  0  0  0  0  0]]",0.39800000190734863,992.7979736328125,0.4029,0.4011894736842106,3.7038722038269043,5,"[0.55, 0.4146]","(0.829, 95.174, 0.9049)"
"[[36 36 35 39 12 21 17 13 32 20 22 13 41 43 46 20 26 46 39 41  4 12  3 29
  29 20 17 17 38 25 19]]",0.4,1000.0,0.4,0.4848692307692308,2.2483749389648438,5,"[0.55, 0.8329]","(0.829, 95.174, 0.9049)"
"[[20 34 40 36 31  7 15 28 24 21 45  5 33 26 20 41 16  4 31  6 26 44 30 38
  17 17 25 18 38 32  9]]",0.4,1000.0,0.4,0.47695000000000004,3.1922595500946045,5,"[0.55, 0.9101]","(0.849, 98.871, 0.9101)"
"[[41 17 21 37  5  4 45 29 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.39800000190734863,863.0759887695312,0.4548,0.45252692307692316,3.3273861408233643,5,"[0.55, 0.9088]","(0.849, 98.871, 0.9101)"
"[[27 16 47 25 10 38  7  1 33 37  6 10  1 25  2 22 10 45 32  7 14 21 20 26
  26 49  0  0  0  0  0]]",0.4020000100135803,720.5490112304688,0.5124,0.516265,2.7070305347442627,7,"[0.55, 0.9146]","(0.849, 87.576, 0.9146)"
"[[21 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,870.3909912109375,0.4542,0.5855571428571428,2.602045774459839,5,"[0.55, 0.9039]","(0.849, 87.576, 0.9146)"
"[[ 9 47 38 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4020000100135803,882.1539916992188,0.4478,0.5445714285714287,3.037152051925659,5,"[0.55, 0.9089]","(0.849, 87.576, 0.9146)"
"[[ 2 27 31 45 32  1 29 26 30 38  3  8 40 45 20 44 31 33 37 11 16 45 29 30
  11 30  8 10 10 35 42]]",0.4,1000.0,0.4,0.48155000000000003,2.979360818862915,5,"[0.55, 0.7783]","(0.849, 87.576, 0.9146)"
"[[28 15  4  2  6 39  6  5 41 45 40 33  8 34 38 12 40  6 32  1 23 26  7 41
   9 27 15 27 37 26 39]]",0.4,1000.0,0.4,0.6167777777777778,2.7977373600006104,6,"[0.55, 0.9119]","(0.849, 87.576, 0.9146)"
"[[28  3 12 20  3  1 36 22 13  3 33 46 33 11 20  8 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.531000018119812,1005.0659790039062,0.4437,0.4178800000000001,3.1841847896575928,5,"[0.55, 0.5447]","(0.849, 87.576, 0.9146)"
"[[12 45 27 19 21 35  3 29 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4059999883174896,969.4199829101562,0.4142,0.43945,2.8179609775543213,5,"[0.55, 0.7769]","(0.849, 87.576, 0.9146)"
"[[ 8 40 48  9 46 46 41 22 37 43 11 39 22 10 27  1 47 37  2  2 37  6  4 10
  35 32 12 25 15 29 24]]",0.4,1000.0,0.4,0.49875714285714295,3.5001280307769775,5,"[0.55, 0.9091]","(0.849, 87.576, 0.9146)"
"[[10 19 44 12 41 38  1  5 12 43 44 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.3970000147819519,888.8300170898438,0.4445,0.50025,3.268961191177368,5,"[0.55, 0.909]","(0.849, 87.576, 0.9146)"
"[[36 21  6 21 10 27 10 36 10  7 36 36 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4020000100135803,923.9810180664062,0.4311,0.40997500000000003,3.157212495803833,5,"[0.55, 0.4745]","(0.849, 87.576, 0.9146)"
"[[ 1  3 13 38 14  1 43 44 36 31  8 43  2 16 17 17  3 15 20 45 11 28 33  8
   8 10  6 36 49  0  0]]",0.40299999713897705,930.0809936523438,0.429,0.48815384615384627,3.3280587196350098,5,"[0.55, 0.8939]","(0.849, 87.576, 0.9146)"
"[[19 24  2 23  5 14 26 18 45 13 17 38 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4009999930858612,937.1900024414062,0.4255,0.5069555555555555,2.932682514190674,5,"[0.55, 0.8705]","(0.849, 87.576, 0.9146)"
"[[22 26 28 46  4 23 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.3970000147819519,998.6220092773438,0.4006,0.5067176470588235,2.6319539546966553,7,"[0.55, 0.9095]","(0.849, 87.576, 0.9146)"
"[[10 15 41 15  3 23 48 14 43 45 30 45  5 39 44 37 26  4  3 41 44  7 16 11
  41 35 11  4 11 24 20]]",0.40299999713897705,769.6489868164062,0.4931,0.45438571428571434,2.6030404567718506,5,"[0.55, 0.5784]","(0.849, 87.576, 0.9146)"
"[[39 28 43 37 18  1  8 21 33  1 20 15 35 39 46 32 24 26 13  1 27 31 24 15
  25 29  2 36  1 33 45]]",0.4,1000.0,0.4,0.4978615384615385,2.8021180629730225,5,"[0.55, 0.8648]","(0.849, 87.576, 0.9146)"
"[[19 26 44 45 30 25  5 10 26 28 28  9  4 40 17 40 16  1  8 11 32 14 20  4
  47 28 24 24 13 42 33]]",0.4020000100135803,1052.1190185546875,0.4007,0.4674818181818182,3.3327901363372803,5,"[0.55, 0.7547]","(0.849, 87.576, 0.9146)"
"[[21  2 27 48 20 37 24 48 20 40 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4000000059604645,929.39599609375,0.4282,0.4118400000000001,2.795788288116455,5,"[0.55, 0.4851]","(0.849, 87.576, 0.9146)"
"[[26 23  5  3 42 47 30 45 20 25 35 18 38 46  2 35 30  7 44 34 46  2 49  0
   0  0  0  0  0  0  0]]",0.40299999713897705,995.1300048828125,0.4029,0.4575133333333333,2.9570603370666504,5,"[0.55, 0.9109]","(0.849, 87.576, 0.9146)"
