Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.927,0.55,0.9272,2.8101279735565186,0
2,5,0.743,0.55,0.9272,3.3212993144989014,6
3,9,0.887,0.729,0.9272,2.998786449432373,5
4,5,0.862,0.729,0.9272,2.102871894836426,0
5,5,0.751,0.729,0.9272,3.028426170349121,1
6,5,0.754,0.729,0.9272,2.932651996612549,0
7,5,0.8,0.729,0.9272,2.711679697036743,0
8,6,0.857,0.729,0.9272,2.7084596157073975,0
9,6,0.903,0.729,0.9272,3.1352035999298096,0
10,7,0.932,0.729,0.9321,3.419701337814331,4
11,5,0.834,0.729,0.9321,3.103564977645874,0
12,5,0.923,0.729,0.9321,3.0549910068511963,3
13,7,0.9,0.729,0.9321,2.270514726638794,2
14,5,0.652,0.729,0.9321,3.176100492477417,0
15,5,0.8,0.729,0.9321,2.933014392852783,2
16,5,0.871,0.729,0.9321,2.8831894397735596,1
17,6,0.924,0.729,0.9321,2.160663604736328,0
18,5,0.724,0.729,0.9321,2.810582399368286,3
19,6,0.796,0.729,0.9321,2.2220473289489746,0
20,5,0.904,0.729,0.9321,2.3481357097625732,0
21,5,0.747,0.729,0.9321,2.617131471633911,0
22,5,0.705,0.729,0.9321,3.4215781688690186,5
23,5,0.66,0.729,0.9321,2.3478949069976807,7
24,5,0.721,0.729,0.9321,2.713021993637085,2
25,7,0.898,0.729,0.9321,2.341214895248413,13
26,5,0.63,0.729,0.9321,2.3953211307525635,3
27,5,0.758,0.729,0.9321,2.615391969680786,6
28,5,0.748,0.729,0.9321,3.420719861984253,0
29,5,0.873,0.729,0.9321,2.8363442420959473,1
30,6,0.918,0.729,0.9321,2.323901653289795,1
31,6,0.854,0.729,0.9321,2.729163408279419,0
32,5,0.932,0.729,0.9321,2.7875571250915527,4
33,5,0.761,0.729,0.9321,2.5666158199310303,0
34,5,0.634,0.729,0.9321,2.4941797256469727,1
35,5,0.929,0.729,0.9321,3.154139280319214,5
36,6,0.864,0.729,0.9321,2.6488866806030273,2
37,6,0.93,0.729,0.9321,2.91300892829895,3
38,7,0.93,0.729,0.9321,1.6787179708480835,7
39,5,0.835,0.729,0.9321,3.1047534942626953,4
40,5,0.869,0.729,0.9321,2.9809744358062744,2
41,5,0.904,0.729,0.9321,2.397563934326172,1
42,8,0.899,0.729,0.9321,2.2925162315368652,1
43,5,0.932,0.729,0.9324,3.152676820755005,4
44,7,0.91,0.729,0.9324,2.4972946643829346,2
45,6,0.882,0.729,0.9324,3.15801739692688,6
46,5,0.63,0.729,0.9324,2.030486583709717,1
47,5,0.727,0.729,0.9324,2.76252818107605,0
