sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[ 9 15 18  1  9 32 23 12 47 14 48 45 44 20 29 25 15 24 30 12 12 10  9 19
  10 17 18 23 18  1  4]]",0.40700000524520874,930.6519775390625,0.4128,0.48247999999999996,3.349137544631958,5,"[0.55, 0.7312]","(0.757, 662.702, 0.7312)"
"[[29 46 24 15 18 45 25 13 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,873.4760131835938,0.421,0.43567999999999996,2.9576356410980225,5,"[0.55, 0.4648]","(0.757, 662.702, 0.7312)"
"[[35 11 23 15 23  7  4 13 24 21 10 13 22 25 46 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,1085.02099609375,0.4083,0.4965166666666667,2.587639093399048,6,"[0.55, 0.8931]","(0.88, 69.132, 0.8931)"
"[[20 45 36  9  1 17 47 11 13  4 44 41 36 43  3 24  3 11 12 47 20  5 45  3
  17 16 26 22 32 36 23]]",0.4090000092983246,1201.4429931640625,0.4075,0.5408,3.035498857498169,6,"[0.55, 0.8782]","(0.88, 69.132, 0.8931)"
"[[21 38 30  4 42  3 27  5 10 48  4 11 17 47 17 29 22 44 41 21  9 49  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,922.7760009765625,0.4144,0.42116,2.3730146884918213,5,"[0.55, 0.4406]","(0.88, 69.132, 0.8931)"
"[[36 37 20 35  5 45 12 47 25  7 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.42100000381469727,772.6290283203125,0.4402,0.4332,2.591893196105957,5,"[0.55, 0.4434]","(0.88, 69.132, 0.8931)"
"[[20 26 15 46 30 18 48 36  3 29 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,848.9169921875,0.4234,0.53528,2.8602447509765625,5,"[0.55, 0.8823]","(0.88, 69.132, 0.8931)"
"[[ 7 11  4 36 39 21 24 46 32 45 39 19 44 20 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.414000004529953,611.5609741210938,0.4505,0.4314,3.1532068252563477,5,"[0.55, 0.4644]","(0.88, 69.132, 0.8931)"
"[[ 3 16 14 44  1 13 18 37 48 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41499999165534973,444.8299865722656,0.468,0.6710399999999999,2.909116744995117,5,"[0.55, 0.8491]","(0.88, 69.132, 0.8931)"
"[[13 46 33 23 15 15 14 21 20 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,933.614013671875,0.4125,0.4959833333333334,2.404097080230713,6,"[0.55, 0.8741]","(0.88, 69.132, 0.8931)"
"[[38 22 14 33 33  8 40  9 35 23 22 39 16  2 39 13 45 42 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,856.8569946289062,0.4235,0.5258200000000001,2.6656742095947266,5,"[0.55, 0.8698]","(0.88, 69.132, 0.8931)"
"[[10 46 38 19 36  7 29  8 30 16 25 35 33 35 43 41  4 26 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4129999876022339,636.6669921875,0.4472,0.58488,3.299626588821411,5,"[0.55, 0.8564]","(0.88, 69.132, 0.8931)"
"[[20 13 30  1 36 25 38 43 27 43 18 30 10 25 29 13 47 18 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4059999883174896,854.9099731445312,0.4195,0.5919000000000001,2.8853232860565186,5,"[0.55, 0.8662]","(0.88, 69.132, 0.8931)"
"[[37 16 46 30 40 33 37  5 12 15 30 24 34 44 46 30 22 36  8 14 12 38 49  0
   0  0  0  0  0  0  0]]",0.41100001335144043,483.5169982910156,0.4608,0.52426,2.3966362476348877,5,"[0.55, 0.8042]","(0.88, 69.132, 0.8931)"
"[[13 13 28  1  5 36 17 44 48 20 44  5 47 13 28 33 43  6 30 43  6 47 27  2
  29 44 21 16 24 22 36]]",0.4059999883174896,1340.2469482421875,0.405,0.59622,2.372478723526001,5,"[0.55, 0.8956]","(0.889, 119.343, 0.8956)"
"[[35 21 27 44 45 42 48 43 30 32  4 48 45 30 21 36 12 18  2 14 49  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,844.2379760742188,0.4214,0.5157399999999999,2.054900646209717,5,"[0.55, 0.9055]","(0.894, 62.037, 0.9055)"
"[[19 26 44 24  6 26  8 39 15 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,842.31298828125,0.4241,0.60962,1.9328492879867554,5,"[0.55, 0.8868]","(0.894, 62.037, 0.9055)"
"[[ 2 20 38 23  1  5  8  1 44 18 39 21 38 26 47  6 30 47 35 15 41 38 20 41
   8 35 33 15 43 20 38]]",0.4059999883174896,902.5189819335938,0.4147,0.7186714285714285,3.073523998260498,7,"[0.55, 0.896]","(0.894, 62.037, 0.9055)"
"[[35  1 13 32 48 15 15 18  1 11 34 17 29 25 21  2 19 31 18 23 23  4 44  7
  34 29 48 11 36 46 38]]",0.4129999876022339,734.291015625,0.4374,0.69108,3.0563244819641113,5,"[0.55, 0.892]","(0.894, 62.037, 0.9055)"
"[[21  7 44  9 29 40 19 11  8 18 43  4  7 25  1 40 31 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4050000011920929,864.7860107421875,0.4177,0.43970000000000004,2.7862260341644287,5,"[0.55, 0.4738]","(0.894, 62.037, 0.9055)"
"[[19 35 37 24  6 15 19 39 13 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,895.6630249023438,0.4196,0.60272,3.0060510635375977,5,"[0.55, 0.8969]","(0.894, 62.037, 0.9055)"
"[[11 43 35 47 16 36 23  9 41 37 41 27 13 29 19 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.421999990940094,861.7630004882812,0.4322,0.6951166666666667,2.688659429550171,6,"[0.55, 0.8954]","(0.894, 62.037, 0.9055)"
"[[37 17 43 48 41 22 28 35 30  6 22 12  1 37 48 23 30 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,929.6420288085938,0.4162,0.7218,2.103440761566162,5,"[0.55, 0.9043]","(0.894, 62.037, 0.9055)"
"[[28 42 45  8 23 14  7 32 16 19 41 14 47 18 45 21 48 17 47 48 19 45 22 46
   9 28 47 21 31 18  9]]",0.8230000138282776,638.6539916992188,0.7886,0.8333600000000001,3.519028902053833,5,"[0.55, 0.9136]","(0.907, 89.032, 0.9136)"
