sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[17 17  5 10  1  9 15 13 44  3 42 21 48 31  3 35 41 23 31 13  4 27  3 29
  45 29 48  7 40 26 41]]",0.40799999237060547,757.52197265625,0.0377,0.10164,3.275221586227417,5,"[0.55, 0.3751]","(0.886, 165.326, 0.3751)"
"[[42 45 33 26 22 11 33 48 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8610000014305115,244.9739990234375,0.246,0.08557999999999999,2.15212082862854,5,"[0.55, 0.246]","(0.886, 165.326, 0.3751)"
"[[41 13 27 31 30 38 28  7 29 25  6 41 48  1 15 23 17 19 34 30 48 35 38 30
   9 19 49  0  0  0  0]]",0.4050000011920929,870.9760131835938,0.0325,0.045219999999999996,2.8583641052246094,5,"[0.55, 0.0784]","(0.886, 165.326, 0.3751)"
"[[33 48 39 24 30 26  7 21 37 40 35 20 35 36 18 32 10 22  2 36 35  5 16 14
  14 45  1 46  1 17 19]]",0.8399999737739563,353.3489990234375,0.1664,0.13516,2.9566214084625244,5,"[0.55, 0.2258]","(0.886, 165.326, 0.3751)"
"[[13 19 17 46 34 47 42  6 48 31 38 32 14 37 48 14 13 12  4  6 48 23 33 45
   1 13 23 49  0  0  0]]",0.4020000100135803,1225.5909423828125,0.0281,0.08628,2.466527223587036,5,"[0.55, 0.2111]","(0.886, 165.326, 0.3751)"
"[[38 10 26 26 47 15 29  5  1 44 24 26 13  6  9 29  1 44 14  4  4 21 14 45
   1 31 47 40 10 39 18]]",0.4399999976158142,388.4169921875,0.0793,0.041139999999999996,2.5656161308288574,5,"[0.55, 0.0793]","(0.886, 165.326, 0.3751)"
"[[42 39 36 13 12  4 38 11 47 26 12 26  2 48 27  1 39 17  1 32 28 30 44 14
  27 15 18 38 33 15 13]]",0.8970000147819519,345.2170104980469,0.1819,0.17888,2.0293235778808594,5,"[0.55, 0.3868]","(0.85, 153.83, 0.3868)"
"[[ 1 15 39  1 22 42 26 43 21 31 37  1 29 42 30 21 30  1 21 45 12 38  9  1
  47 10  8  5 44 43  2]]",0.40400001406669617,831.1240234375,0.034,0.07088000000000001,2.756612539291382,5,"[0.55, 0.2255]","(0.85, 153.83, 0.3868)"
"[[ 2 18 30 32 16  1 35 23 24  8 12 47 30 45 47 18 13 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.8989999890327454,145.8939971923828,0.4313,0.25524,1.8322505950927734,5,"[0.55, 0.5383]","(0.88, 114.442, 0.5383)"
"[[22 23 39 46 28 24 30 40 14 27 12 24 13 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,949.9110107421875,0.0301,0.058140000000000004,3.068394184112549,5,"[0.55, 0.1252]","(0.88, 114.442, 0.5383)"
"[[ 5 16 25 48  5 44 47 34 24 24 18  1 34 37 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,549.719970703125,0.0522,0.04364,2.9913642406463623,5,"[0.55, 0.0665]","(0.88, 114.442, 0.5383)"
"[[23 24  8 23 10 16 37 32  2 11 30 11 14  5 17 44 43 17 39 33 43 18 11 47
  17 20 24 41 19  4 23]]",0.4050000011920929,1697.77099609375,0.0284,0.23898333333333333,3.325800657272339,6,"[0.55, 0.85]","(0.85, 69.238, 0.85)"
