accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.9049999713897705,684.2839965820312,0.6946,"[[32  9  6  7  3  9 41 45  2 23 24  2 46 47 12 46 36  2 10 23 26 24 10  9
   7 18  8 30  1 22  5]]"
0.40700000524520874,485.8689880371094,0.608,"[[36 30 36  1  3  9 15 37 32 41 42 28  1 48 17  9 32 34 21 20 21 47 17 43
   1  5 20 32  1  6 10]]"
0.8560000061988831,117.33000183105469,0.9051,"[[27 10 33 46 39 25 40 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.5080000162124634,604.2540283203125,0.5943,"[[42 35 44 45 30 46 15 48 38 20 15  5 37  1 15 43 48  8  8 35 21 29 38 42
  38  6  4  1  8 47 44]]"
0.8970000147819519,174.7570037841797,0.8958,"[[30 36 42 47  7  3 37 27 33 36 31 26 10 44 19 44 34 29 45 40 11  9  1 34
  10 21 23 49  0  0  0]]"
0.8730000257492065,100.03600311279297,0.9177,"[[ 8 42 42 10 48 46 36 26 19 10  5 32  5 47 13 44 18 38 47 31 38 23  4 30
  17 47 38 27 37 21 33]]"
0.4090000092983246,878.0900268554688,0.4518,"[[34 17 26 35 47 12 24 32  7 33  1 20  9 23 10 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.6639999747276306,372.5820007324219,0.739,"[[27 40 26 44 36  3 46  3 19  6 32  7 43 39 45  7 31 30 17 22 47 18  7 39
  37 10 36 20 16 15  1]]"
0.40799999237060547,823.1119995117188,0.4734,"[[38 17 22 41 26 41 36 24  8 11 47 20 42 47 43  2 46 41 49  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4000000059604645,942.3569946289062,0.4231,"[[ 9 24 22 11 25 39 27 23  8 45 25 46 44  8 38 16  6 20 16 48 41 39 49  0
   0  0  0  0  0  0  0]]"
0.4050000011920929,337.7049865722656,0.6666,"[[27 33 27 22 32  3 28 30  4 35 24  9  6 44 41 38 26 43 44 34  5 10 16 19
  41 35 17 33 48  2 32]]"
0.8999999761581421,92.81099700927734,0.9295,"[[ 6  4 33  6 29 23  8 13 27 16 24 45  6 16 38  4 17 47 43 16 13 12  4 30
   4 44  1 23 47 36 47]]"
0.8859999775886536,78.802001953125,0.9305,"[[37 31  4 39  1 32 20 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8579999804496765,94.33999633789062,0.9149,"[[ 8 37 29 30 31  6 15  1  9  1  5 37 25 27 25 17  9 16 15 49  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8849999904632568,278.8299865722656,0.8501,"[[35  8  2 13 46  5 22 11 46 22 46 14 30 24  4 48 46 36  1 22 26  7 35 15
   9 35 45 20  3 10 30]]"
0.41200000047683716,862.083984375,0.4592,"[[36  3  1 17 45 23 25 42  8 37 35 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4180000126361847,431.72900390625,0.6333,"[[27  7 30 26 31  1 41 43 27  5 23 39 33 15  2 39 39 12 29  9  8 49  0  0
   0  0  0  0  0  0  0]]"
0.40700000524520874,835.427978515625,0.4682,"[[41 20 44 39 23 25 31 47 29  9 17 23 12 43 18 39  7 17 48  8 22 49  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,946.5780029296875,0.4247,"[[20  1 26 22 38 45 43 46 16 16  7  1 17 24 48 36 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
