Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,8,0.89,0.55,0.89,2.9022252559661865,2
2,5,0.779,0.55,0.89,3.22520112991333,5
3,5,0.352,0.55,0.89,2.8839147090911865,0
4,6,0.87,0.55,0.89,3.137134552001953,0
5,5,0.897,0.55,0.897,2.4705874919891357,0
6,5,0.634,0.55,0.897,3.0076959133148193,2
7,6,0.888,0.55,0.897,3.116816759109497,0
8,5,0.41,0.55,0.897,2.665585517883301,0
9,5,0.441,0.55,0.897,3.786771297454834,1
10,5,0.451,0.55,0.897,2.493455171585083,3
11,5,0.802,0.55,0.897,2.8575942516326904,0
12,5,0.874,0.55,0.897,2.467972993850708,0
13,5,0.285,0.55,0.897,2.861409902572632,0
14,6,0.796,0.55,0.897,2.7300455570220947,1
15,6,0.839,0.55,0.897,3.1151416301727295,3
16,6,0.863,0.55,0.897,2.5072312355041504,4
17,5,0.825,0.55,0.897,2.7879655361175537,1
18,5,0.704,0.55,0.897,3.0313773155212402,1
19,5,0.862,0.55,0.897,2.274834394454956,1
20,5,0.446,0.55,0.897,2.348112106323242,1
21,6,0.601,0.55,0.897,2.1211345195770264,0
22,8,0.861,0.55,0.897,3.1159982681274414,0
23,5,0.863,0.55,0.897,2.37302827835083,0
24,5,0.848,0.55,0.897,1.6890701055526733,1
25,5,0.88,0.55,0.897,2.7874231338500977,0
26,5,0.846,0.55,0.897,3.0548884868621826,4
27,5,0.419,0.55,0.897,2.6656441688537598,0
28,5,0.798,0.55,0.897,2.543146848678589,12
29,5,0.345,0.55,0.897,2.5189733505249023,1
30,6,0.872,0.55,0.897,2.3228261470794678,2
31,5,0.854,0.55,0.897,2.2739827632904053,0
32,5,0.88,0.55,0.897,1.9578924179077148,1
33,5,0.878,0.55,0.897,2.5924713611602783,1
34,5,0.201,0.55,0.897,2.713855504989624,1
35,5,0.893,0.55,0.897,2.5435140132904053,1
36,6,0.898,0.55,0.898,2.5483131408691406,0
37,5,0.186,0.55,0.898,2.9573230743408203,2
38,6,0.9,0.55,0.9,2.2021377086639404,0
39,6,0.568,0.55,0.9,2.485827684402466,2
40,5,0.892,0.55,0.9,2.812365770339966,3
41,5,0.899,0.55,0.9,3.2228500843048096,0
42,5,0.44,0.55,0.9,2.8112246990203857,2
43,5,0.469,0.55,0.9,2.10408616065979,8
44,5,0.9,0.55,0.9,2.6407976150512695,2
45,5,0.868,0.55,0.9,2.346994400024414,4
46,5,0.894,0.55,0.9,2.639343023300171,4
47,5,0.885,0.55,0.9,2.909651517868042,0
48,5,0.718,0.55,0.9,1.4692937135696411,0
49,5,0.845,0.55,0.9,2.956027030944824,1
50,5,0.361,0.55,0.9,2.3230342864990234,9
51,5,0.15,0.55,0.9,2.9342310428619385,0
52,5,0.17,0.55,0.9,3.0074636936187744,0
53,5,0.482,0.55,0.9,2.1783077716827393,4
54,5,0.883,0.55,0.9,2.8584630489349365,2
55,5,0.513,0.55,0.9,3.0311501026153564,0
56,6,0.874,0.55,0.9,2.4667155742645264,0
57,5,0.379,0.55,0.9,1.834938645362854,3
58,6,0.872,0.55,0.9,2.9540016651153564,0
59,5,0.889,0.55,0.9,2.931716203689575,0
60,5,0.868,0.55,0.9,3.4452223777770996,0
61,5,0.865,0.55,0.9,2.4922409057617188,2
62,5,0.59,0.55,0.9,2.906703233718872,0
63,5,0.717,0.55,0.9,2.470207691192627,0
64,6,0.881,0.55,0.9,2.7091948986053467,4
65,7,0.898,0.55,0.9,2.1827993392944336,3
66,5,0.882,0.55,0.9,2.859170913696289,1
