model,params [K],accuracy,token_sequence,model_info
model_0012,5.849,0.8,"[248, 381, 247, 326, 229, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""dropout"", 0.2], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0013,1.834,0.79,"[138, 4, 190, 238, 301, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0014,13.818,0.54,"[93, 112, 235, 133, 347, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0015,15.906,0.82,"[32, 151, 332, 294, 180, 382]","{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0016,19.48,0.79,"[212, 65, 279, 241, 152, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0017,1.898,0.75,"[57, 41, 214, 270, 26, 382]","{""0"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0018,1.024,0.69,"[210, 31, 79, 347, 251, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0019,2.45,0.78,"[101, 17, 24, 59, 305, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0020,2.96,0.84,"[254, 96, 79, 246, 80, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0021,6.233,0.51,"[327, 207, 337, 330, 319, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0022,31.298,0.87,"[64, 88, 328, 314, 23, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0023,1.706,0.65,"[113, 298, 338, 264, 19, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0024,13.498,0.51,"[165, 297, 142, 193, 231, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0025,1.502,0.84,"[182, 251, 104, 274, 318, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0026,46.681,0.51,"[306, 13, 88, 317, 86, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0027,9.858,0.79,"[166, 166, 51, 286, 295, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0028,5.985,0.51,"[301, 180, 307, 53, 1, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0029,1.238,0.8,"[221, 318, 64, 7, 347, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0030,164.888,0.51,"[279, 354, 283, 140, 369, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Dense"", 20, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0031,14.362,0.88,"[102, 306, 26, 87, 284, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0032,42.094,0.76,"[183, 299, 148, 163, 266, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0033,12.274,0.82,"[111, 104, 300, 205, 342, 382]","{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0034,1.994,0.77,"[106, 331, 231, 252, 43, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0035,1.325,0.73,"[265, 200, 348, 243, 35, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0036,0.53,0.51,"[227, 320, 187, 192, 66, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0037,1032.548,0.49,"[340, 193, 15, 40, 361, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [""Dense"", 4, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0038,5.338,0.49,"[71, 327, 226, 157, 41, 382]","{""0"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0039,1.813,0.51,"[223, 258, 309, 23, 63, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0040,6.098,0.51,"[179, 249, 109, 325, 186, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0041,13.12,0.8,"[226, 88, 240, 169, 293, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0042,17.21,0.88,"[108, 214, 94, 103, 379, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 40, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0043,0.6,0.51,"[318, 32, 199, 286, 242, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0044,4.146,0.49,"[45, 197, 118, 339, 231, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0045,15.946,0.75,"[50, 174, 295, 56, 193, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0046,8.266,0.89,"[86, 96, 70, 320, 95, 382]","{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0047,42.082,0.51,"[92, 329, 210, 43, 379, 382]","{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 40, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0048,11.816,0.83,"[330, 85, 324, 100, 283, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0049,16.519,0.51,"[327, 229, 7, 231, 343, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0050,21.746,0.6,"[74, 345, 348, 136, 291, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0051,22.77,0.83,"[139, 233, 196, 67, 110, 382]","{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
