Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.92,0.55,0.9197,2.0310158729553223,0
2,5,0.832,0.55,0.9197,2.885006904602051,0
3,6,0.923,0.55,0.9228,2.038724184036255,0
4,5,0.754,0.55,0.9228,3.054603338241577,0
5,5,0.907,0.55,0.9228,2.0319290161132812,1
6,9,0.916,0.55,0.9228,2.608720064163208,0
7,6,0.755,0.55,0.9228,2.3037569522857666,2
8,5,0.519,0.55,0.9228,2.788053512573242,3
9,5,0.572,0.55,0.9228,2.42067289352417,1
10,5,0.92,0.55,0.9228,2.1772892475128174,8
11,6,0.904,0.55,0.9228,3.3610079288482666,1
12,6,0.835,0.55,0.9228,3.118208646774292,7
13,8,0.895,0.55,0.9228,3.4218571186065674,7
14,5,0.862,0.55,0.9228,2.5417654514312744,1
15,5,0.78,0.55,0.9228,2.4944329261779785,0
16,8,0.908,0.55,0.9228,2.261960506439209,5
17,5,0.776,0.55,0.9228,3.909552812576294,0
18,6,0.85,0.55,0.9228,3.217535972595215,0
19,5,0.582,0.55,0.9228,1.8103487491607666,14
20,5,0.892,0.55,0.9228,2.7622034549713135,4
21,5,0.674,0.55,0.9228,3.6652283668518066,0
22,5,0.688,0.55,0.9228,2.6418700218200684,10
23,6,0.704,0.55,0.9228,3.1983892917633057,2
24,6,0.905,0.55,0.9228,2.851849317550659,3
25,8,0.856,0.55,0.9228,2.6284425258636475,2
26,5,0.904,0.55,0.9228,2.1764063835144043,1
27,5,0.613,0.55,0.9228,3.397305727005005,1
28,5,0.474,0.55,0.9228,2.2494068145751953,3
29,7,0.926,0.55,0.9257,2.2890286445617676,2
30,6,0.898,0.55,0.9257,3.5029237270355225,4
31,5,0.883,0.55,0.9257,2.543449640274048,3
32,5,0.662,0.55,0.9257,2.322972536087036,3
33,5,0.457,0.55,0.9257,2.884342908859253,0
34,5,0.909,0.55,0.9257,3.3482375144958496,0
35,6,0.792,0.55,0.9257,2.28256893157959,0
36,5,0.902,0.55,0.9257,3.054795026779175,1
37,5,0.741,0.55,0.9257,3.1291332244873047,0
38,5,0.849,0.55,0.9257,3.3707473278045654,1
39,5,0.862,0.55,0.9257,3.2502105236053467,1
40,5,0.907,0.55,0.9257,2.2251415252685547,4
41,5,0.879,0.55,0.9257,3.152639865875244,0
42,5,0.699,0.55,0.9257,3.007026433944702,2
43,6,0.732,0.55,0.9257,3.1960268020629883,7
44,7,0.884,0.55,0.9257,2.2361745834350586,0
45,7,0.898,0.55,0.9257,2.811368703842163,7
46,6,0.92,0.55,0.9257,3.4831342697143555,0
47,5,0.706,0.55,0.9257,3.2008719444274902,3
48,5,0.815,0.55,0.9257,3.908806324005127,1
49,10,0.92,0.55,0.9257,2.919865608215332,2
50,7,0.854,0.55,0.9257,2.532318353652954,2
51,6,0.872,0.55,0.9257,3.01421856880188,5
52,5,0.696,0.55,0.9257,3.5912868976593018,2
53,5,0.918,0.55,0.9257,2.1518540382385254,4
54,8,0.885,0.55,0.9257,2.0491554737091064,5
55,7,0.871,0.55,0.9257,2.8459300994873047,1
56,5,0.833,0.55,0.9257,2.1516809463500977,1
57,6,0.894,0.55,0.9257,1.977739691734314,6
58,5,0.829,0.55,0.9257,3.4459939002990723,5
59,7,0.736,0.55,0.9257,2.84307861328125,2
60,6,0.671,0.55,0.9257,2.6887195110321045,3
61,5,0.72,0.55,0.9257,2.2740302085876465,0
62,7,0.92,0.55,0.9257,2.5313899517059326,0
63,6,0.91,0.55,0.9257,2.179929733276367,0
64,5,0.703,0.55,0.9257,2.590559720993042,21
65,5,0.8,0.55,0.9257,2.541191577911377,2
66,5,0.902,0.55,0.9257,3.4633285999298096,1
67,5,0.515,0.55,0.9257,2.3959779739379883,1
68,5,0.81,0.55,0.9257,2.711888551712036,3
69,6,0.725,0.55,0.9257,2.6666862964630127,0
70,5,0.925,0.55,0.9257,2.2734787464141846,5
71,7,0.919,0.55,0.9257,2.1820974349975586,6
72,5,0.883,0.55,0.9257,3.460891008377075,1
73,5,0.783,0.55,0.9257,2.150531768798828,4
74,6,0.878,0.55,0.9257,1.9545890092849731,2
75,5,0.878,0.55,0.9257,2.321049928665161,9
76,5,0.857,0.55,0.9257,2.831084966659546,4
77,7,0.903,0.55,0.9257,2.8697926998138428,6
78,8,0.917,0.55,0.9257,2.2595880031585693,1
79,8,0.925,0.55,0.9257,2.938478946685791,0
80,6,0.923,0.55,0.9257,2.5415282249450684,2
81,7,0.863,0.55,0.9257,2.7658894062042236,0
82,6,0.891,0.55,0.9257,3.1485679149627686,8
83,5,0.915,0.55,0.9257,2.5100836753845215,0
84,5,0.881,0.55,0.9257,2.957540988922119,0
85,5,0.683,0.55,0.9257,1.7818944454193115,3
86,5,0.914,0.55,0.9257,3.035311698913574,1
87,5,0.884,0.55,0.9257,3.0922889709472656,2
88,5,0.915,0.55,0.9257,3.225315809249878,1
89,8,0.916,0.55,0.9257,2.590762138366699,1
90,6,0.884,0.55,0.9257,3.226818799972534,13
91,5,0.859,0.55,0.9257,2.6000185012817383,5
92,6,0.926,0.55,0.9259,2.5272607803344727,5
93,5,0.719,0.55,0.9259,3.174689769744873,3
94,5,0.892,0.55,0.9259,2.7514829635620117,0
95,5,0.888,0.55,0.9259,1.9608078002929688,1
96,5,0.88,0.55,0.9259,2.540225028991699,4
97,6,0.924,0.55,0.9259,2.9782044887542725,3
98,5,0.717,0.55,0.9259,3.191920757293701,0
99,5,0.912,0.55,0.9259,2.7773849964141846,1
100,6,0.876,0.55,0.9259,1.8786791563034058,2
101,5,0.624,0.55,0.9259,2.4786810874938965,0
102,8,0.913,0.55,0.9259,1.9500898122787476,1
103,5,0.857,0.55,0.9259,2.7165541648864746,0
104,13,0.918,0.55,0.9259,2.291630744934082,4
105,6,0.922,0.55,0.9259,2.2509942054748535,0
106,5,0.711,0.55,0.9259,3.353289842605591,11
107,11,0.907,0.55,0.9259,2.4738550186157227,3
108,5,0.855,0.55,0.9259,2.7067956924438477,3
109,5,0.821,0.55,0.9259,2.5586230754852295,1
110,6,0.834,0.55,0.9259,2.4218668937683105,0
111,5,0.507,0.55,0.9259,2.4478046894073486,0
112,5,0.928,0.55,0.9279,2.683189868927002,2
113,7,0.821,0.55,0.9279,2.4328768253326416,5
114,5,0.902,0.55,0.9279,2.296865463256836,2
115,6,0.902,0.55,0.9279,2.8885881900787354,0
116,5,0.897,0.55,0.9279,2.481159210205078,1
117,6,0.875,0.55,0.9279,3.172731399536133,0
118,5,0.893,0.55,0.9279,2.614403009414673,3
119,6,0.899,0.55,0.9279,2.1914591789245605,1
120,5,0.924,0.55,0.9279,2.5256030559539795,1
121,5,0.653,0.55,0.9279,2.436598300933838,0
122,5,0.611,0.55,0.9279,2.0596799850463867,1
123,5,0.714,0.55,0.9279,2.722033977508545,1
124,6,0.897,0.55,0.9279,2.7695531845092773,1
125,5,0.614,0.55,0.9279,2.6475276947021484,16
126,7,0.923,0.55,0.9279,2.617772340774536,4
127,5,0.925,0.55,0.9279,1.9069362878799438,5
128,6,0.9,0.55,0.9279,2.658064603805542,0
129,7,0.828,0.55,0.9279,1.7702399492263794,1
130,8,0.902,0.55,0.9279,2.716552495956421,3
131,7,0.9,0.55,0.9279,2.264350175857544,2
132,7,0.916,0.55,0.9279,1.9594835042953491,2
133,7,0.913,0.55,0.9279,2.6494762897491455,0
134,5,0.789,0.55,0.9279,1.9584579467773438,4
135,6,0.908,0.55,0.9279,2.4827935695648193,0
136,5,0.759,0.55,0.9279,2.871270179748535,1
137,8,0.921,0.55,0.9279,2.176645517349243,14
138,5,0.932,0.55,0.9315,2.617666721343994,15
139,5,0.9,0.55,0.9315,2.2491471767425537,3
140,5,0.693,0.55,0.9315,2.2589685916900635,0
141,5,0.813,0.55,0.9315,1.9554758071899414,3
142,8,0.732,0.55,0.9315,2.0145018100738525,1
143,7,0.911,0.55,0.9315,1.9708086252212524,7
144,6,0.865,0.55,0.9315,2.4304208755493164,0
145,7,0.924,0.55,0.9315,1.7837374210357666,5
146,8,0.917,0.55,0.9315,1.9975486993789673,6
147,5,0.911,0.55,0.9315,2.089365243911743,3
