Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,7,0.916,0.55,0.9158,3.297663450241089,1
2,5,0.838,0.55,0.9158,3.248927593231201,1
3,5,0.823,0.55,0.9158,2.811635732650757,10
4,5,0.82,0.55,0.9158,2.8593318462371826,0
5,5,0.879,0.55,0.9158,2.9323959350585938,1
6,5,0.75,0.55,0.9158,2.663447141647339,2
7,5,0.73,0.55,0.9158,2.3962905406951904,3
8,6,0.913,0.55,0.9158,3.4200432300567627,0
9,5,0.9,0.55,0.9158,3.030885696411133,4
10,6,0.878,0.55,0.9158,3.380669355392456,3
11,5,0.928,0.55,0.9285,2.0301876068115234,4
12,6,0.931,0.55,0.9311,2.2822964191436768,1
13,5,0.868,0.55,0.9311,2.7136638164520264,0
14,7,0.903,0.55,0.9311,2.445533037185669,1
15,6,0.906,0.55,0.9311,3.19722580909729,1
16,6,0.896,0.55,0.9311,2.4655911922454834,2
17,5,0.624,0.55,0.9311,2.3227906227111816,0
18,5,0.904,0.55,0.9311,2.3715250492095947,0
19,6,0.842,0.55,0.9311,3.0959064960479736,0
20,6,0.927,0.55,0.9311,2.709340810775757,9
21,7,0.921,0.55,0.9311,3.1423287391662598,0
22,6,0.936,0.55,0.9358,2.8316450119018555,1
23,5,0.482,0.55,0.9358,2.1760847568511963,2
24,5,0.851,0.55,0.9358,3.1039602756500244,5
25,6,0.9,0.55,0.9358,3.177401304244995,0
26,5,0.92,0.55,0.9358,2.6402764320373535,0
27,5,0.66,0.55,0.9358,3.0310027599334717,3
28,5,0.852,0.55,0.9358,3.1031832695007324,1
29,6,0.918,0.55,0.9358,2.058534622192383,1
30,5,0.942,0.55,0.9424,2.054870367050171,0
31,8,0.925,0.55,0.9424,3.1621246337890625,0
32,5,0.71,0.55,0.9424,2.7143380641937256,1
33,7,0.804,0.55,0.9424,2.8810017108917236,0
34,7,0.926,0.55,0.9424,2.288020372390747,1
35,10,0.93,0.55,0.9424,2.213273525238037,0
36,5,0.77,0.55,0.9424,3.5659070014953613,3
37,5,0.911,0.55,0.9424,2.396515130996704,0
38,5,0.604,0.55,0.9424,2.9817864894866943,6
39,5,0.876,0.55,0.9424,2.616309881210327,1
40,5,0.558,0.55,0.9424,3.592136859893799,0
41,6,0.899,0.55,0.9424,3.3195011615753174,0
42,5,0.94,0.55,0.9424,2.812016487121582,1
43,6,0.856,0.55,0.9424,2.1401774883270264,2
44,5,0.912,0.55,0.9424,3.0066537857055664,0
45,9,0.925,0.55,0.9424,2.621642827987671,3
46,5,0.628,0.55,0.9424,2.66444730758667,1
47,7,0.934,0.55,0.9424,3.12457537651062,1
48,5,0.86,0.55,0.9424,2.933692693710327,0
49,7,0.924,0.55,0.9424,3.107499599456787,1
50,6,0.711,0.55,0.9424,2.9938108921051025,0
51,5,0.907,0.55,0.9424,2.7377402782440186,1
