accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.8970000147819519,124.71299743652344,0.9158,"[[ 6 12  7  9  9 23 11 48 16 36 24 19 39 40 35  7 24 35 15  3 33 39  1  7
  13  8 30 17 43 27 27]]"
0.40700000524520874,879.5150146484375,0.4505,"[[13 30 32 30 42 14  5 41 40 16 14  8 24 44 24  9 33 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,833.4199829101562,0.4693,"[[32 21  4 46  7 47 17 41 17 45 35 25  4 45 35  2 19 17 42 38 44 28 32 46
  26  2 49  0  0  0  0]]"
0.8349999785423279,380.6319885253906,0.7927,"[[12 38  2 27 30 12  1 32 20 29  9  4 26  9 20 45 21 46 13 11 15  6 41 22
   6  4  1 41  1 38 43]]"
0.7670000195503235,761.6270141601562,0.6177,"[[35 34 19 37 43 15  8 32 11 44 39 24  3 42 46 12 43  1 35  8  3 36 43 35
   4 27  9  1  3 44 35]]"
0.8759999871253967,126.4729995727539,0.9081,"[[42  1 28 25 21  1  6 21 27 33  2 19  4 38  8 18 24 47 36 32 39 12 27 45
  47  9 26 34 23 35 21]]"
0.40799999237060547,795.4719848632812,0.4845,"[[ 2 23 41  6  5 38  5 43  2 10 34 14 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4050000011920929,1393.3360595703125,0.4017,"[[17  9 44 27 15 10  4 43 23 11  8  6 11 46 31 39 34  8 26  3 16 44 47 27
  15 23  6 12 27 21 24]]"
0.414000004529953,923.3419799804688,0.4353,"[[ 7 13 39 39 37 34 10  7 25 22  7 31 18 18  1 41  9 36 26 45  6  8 35 22
   1 18 11 47 13 49  0]]"
0.8510000109672546,281.885986328125,0.8376,"[[ 6 39 11 25 38  1 27  8 31 21 26 39 28 14 26 16 43 47 33 40 10  7 33 49
   0  0  0  0  0  0  0]]"
0.8820000290870667,601.9730224609375,0.7199,"[[ 2  3  7 33 28  3 47 10  3 29 32 34 32 13  1 33 10 47 18 15 38 13 17 23
  12 35 48 43 14 18  5]]"
0.4090000092983246,966.4500122070312,0.4164,"[[34 13 31 12 17 21 33  3 22 19 43 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8080000281333923,294.0260009765625,0.8184,"[[37  5 42 25 46 16 41 32 24 29 10 41 21 32 48 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8669999837875366,330.87799072265625,0.8233,"[[40 37 38 45 38 18  8  5 25 43 32 44 35 30  8 41 44 14  8 23 35  2 12 49
   0  0  0  0  0  0  0]]"
0.40299999713897705,512.8980102539062,0.5958,"[[ 8 11 18 35 27 22 44 17 40 15 43 39 48 27 46 36  6 47 42 27 43  8 23  8
  47  4 30  6  8 16 42]]"
0.7110000252723694,396.63299560546875,0.745,"[[38  5  5 20  5  7 18 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4009999930858612,1066.865966796875,0.4003,"[[28 19 19 39 18 21 20 20 11 40 38 10  3 46 17 25 18 45 22 13  9 41 33  1
  11 39 46 23 36 15 14]]"
0.4099999964237213,884.4970092773438,0.4495,"[[ 3 15 48  2 19 14 27 16 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7720000147819519,260.5799865722656,0.8198,"[[26 26 26  9 23 29 18 39 21 35 20 32 46  7 26  5  2 37 31 40 33 12  9 21
  27 35 26 47 29  7 13]]"
0.8970000147819519,779.5050048828125,0.6539,"[[40 15 35 10 41 21 32 38 36 39  2 34 22 35 15 48 17 32 18 16  7  9  9  4
  35 41 27 43  2 17 14]]"
0.8610000014305115,591.4000244140625,0.7171,"[[40 24 26  9  4 41 37 46 10 45  9 48 36  7 43 40 12  1 13 17 29  3 38 39
   4 48 44  2 10  1 29]]"
0.40299999713897705,844.8629760742188,0.4631,"[[34 23 20  5  5 32  5 31  6 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8960000276565552,367.40899658203125,0.8184,"[[12 42 35 29 17 29  7 37 38  5 44 31 43  5 11  4 23 22 43  1 16 34 43 27
  49  0  0  0  0  0  0]]"
0.4090000092983246,523.5239868164062,0.5936,"[[ 1 29  3 16 29  7 47 27 35 21  5 31  5  6 19 12  7 13  7 33 40 27 41  1
  49  0  0  0  0  0  0]]"
0.40799999237060547,900.8350219726562,0.4423,"[[21 35 11  6 36 17 34 16 17  4 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7910000085830688,127.51799774169922,0.8793,"[[ 8 41  5 11 14 35  4 14  9 11 26 21 34 32 45 33 41  4 14 36 15  5 41 15
   9  9 23 29  3  3 46]]"
0.4059999883174896,797.97998046875,0.4828,"[[11 22  4 37 28 44 16  2 23  9  8  8  1 47 38  1 46  2 11 36 39  9 49  0
   0  0  0  0  0  0  0]]"
0.41600000858306885,399.48699951171875,0.6455,"[[ 1 39  5 12 16 29 24 39  1 38 37 16 45 12 28  6 22 13 29 18 27  9 49  0
   0  0  0  0  0  0  0]]"
0.906000018119812,546.7830200195312,0.75,"[[26  9 32 46  5  2 33 45 28 32 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.421999990940094,594.2269897460938,0.5696,"[[ 7  2 22  2 32 22 12 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.3919999897480011,346.281005859375,0.6615,"[[ 5  9  8  1 41 29 37  1 17 45  1 13 29  1 40 19 48 31 27 35 23 25 20 43
  24 30 17 30  9 46 12]]"
0.4129999876022339,176.90499877929688,0.7336,"[[25 36 37 24 30 34 35 40  3  1 13 23 14  1  8 23  5 31 21 26 31  7  5  1
  21 16 42 17 46 47 34]]"
0.41200000047683716,959.8720092773438,0.4201,"[[ 9 44 43 17  1  7  2 35 11 28 23 35 18 15 40 44 46  7 11 17 49  0  0  0
   0  0  0  0  0  0  0]]"
0.4050000011920929,887.176025390625,0.4468,"[[ 1 23 35 33 28 31 43 38 20 45 22 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4659999907016754,230.08299255371094,0.73,"[[ 6  5 18 22  1 27 43 30 11  3  2 33 10 16 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,811.2849731445312,0.4785,"[[20 13  7 38 25 42 11 44 15 40  6 34 46 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40400001406669617,1528.1529541015625,0.4013,"[[19  3 37 10 44 13 43 43 29 48  4  8 48 43 41 37 47 17  1 46 12 28  1  5
  21  6 23 35 15 36 16]]"
0.6200000047683716,458.1029968261719,0.6901,"[[39  2 15  9 25  4  2 43 28 10  7 21 48 29 44 44 18 42 12  8 47  7 46 49
   0  0  0  0  0  0  0]]"
0.8640000224113464,103.51000213623047,0.9133,"[[ 7 14 14 37  7 39 27 28 45 43  1 26 14 26  1 43 29 36 47 26 34 12  4  4
  39 44 19 36 27 44 19]]"
0.4059999883174896,872.2410278320312,0.4531,"[[27 16 28 46 13 29 17 42 35 20 34 20  1  7 30 13 17 44  7 20 49  0  0  0
   0  0  0  0  0  0  0]]"
0.40400001406669617,996.6110229492188,0.4027,"[[23 19 22 44  7 21 22  7 21  9 37  8 13 46  8 12 22 46 18  3  2 41 20 49
   0  0  0  0  0  0  0]]"
0.5600000023841858,127.89299774169922,0.8022,"[[42 26 34 28 24 15 18 19 10 26 30  4 20 43 43  7 21 19  2  1 20 22  1 13
   7 47  6 27 45 23  3]]"
0.40700000524520874,891.8569946289062,0.4456,"[[ 6 21 37 23 48 31 46 25 42 36 16  6 39 44 31  1 20 38 30 38 35 13 17  3
  47 26 27 27 40 12  9]]"
0.49399998784065247,855.8179931640625,0.489,"[[ 4  1 20 22  1 44 47 17 39 29 18 38 33 44 17 29  1 35 49  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8859999775886536,153.96099853515625,0.9004,"[[41 31 29 23 26  6 18 20 16  5 13 15 15 44 32 29 41 47 36  4 11 19 35 19
  49  0  0  0  0  0  0]]"
0.4099999964237213,908.5809936523438,0.4399,"[[19 37 31 38 11  4 19 19 17 26  2  7 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,730.2979736328125,0.5109,"[[25 46  1 16  3 24 19 47 23  1  7 48 38 23 19 28 30 45 20  7 36 47 28 39
  41 10 31 16  7 35 35]]"
0.5690000057220459,823.06201171875,0.5271,"[[11  5 45 17 42  1 34 31 26 34 39 39 22 13 26 12 43 19 47 18 38 21 41 19
  34  9 35  1 36 39  6]]"
0.40700000524520874,902.8729858398438,0.4412,"[[21 32 11 27 30 32 23  7 26 48 26 33  2 13 48 39 36 17 21  9 14  8 29  4
  16  9  1 38 46 33 48]]"
0.4050000011920929,1049.958984375,0.4017,"[[15 20 11 13 13 11  1 10 39  7 13 40 28 39 17 24  9 21 43  7 38 10 24 46
  37 20 44 21 48  8 29]]"
0.4090000092983246,803.25,0.4817,"[[34 45 15 36 42 29  5 30 38 47 16 42  1 33 42 47  7 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,982.0759887695312,0.4102,"[[22 38 27  7 46 13 44 41 12 11 43 10 17 38 35 28 48 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.859000027179718,188.21800231933594,0.8777,"[[ 4  6 48 38 24 47 32 10  5 33  4 43 10  7 42 20 18 14  2  8 18 14 30  7
  20 12 36 38 19 38 38]]"
0.4059999883174896,647.3060302734375,0.5431,"[[12 25 40  5 48 23 39  8  1 33 44 41 21 21  1 35  6 46 18 19 19 41  9  8
   2 46 48 26  8  4 48]]"
0.40700000524520874,839.2839965820312,0.4666,"[[15 32 41 39 40 35 14 40 21 14 29 32 38 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4059999883174896,1117.6839599609375,0.402,"[[20 11 19 32 13 20 42 19 35 42 41 11 13  8 15 35 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8889999985694885,528.4400024414062,0.7516,"[[28 33  8 30 47 47 19 45  7 23 12 27  9 22 34 16 31 48 22 45 48 27 49  0
   0  0  0  0  0  0  0]]"
