sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[ 3 12 15  7  5 21 20 40 26 45  9 13 13 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,930.4910278320312,0.4315,0.5894166666666667,2.3228609561920166,6,"[0.55, 0.8341]","(0.69, 156.302, 0.8341)"
"[[ 5 46 39  1 18 27 37 19 18 36 18 18 26 16  1 48 42  1 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,825.9710083007812,0.4729,0.66732,1.6647284030914307,5,"[0.55, 0.8224]","(0.69, 156.302, 0.8341)"
"[[ 4 36 19 44 15 31 10 20 22 19  6 21 12 13  6 47 14 11  2 10 21 46 22 49
   0  0  0  0  0  0  0]]",0.40700000524520874,741.4959716796875,0.5057,0.69332,3.080164670944214,5,"[0.55, 0.8671]","(0.863, 218.185, 0.8671)"
"[[15 10  3 42 11 17 40 48  1 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4050000011920929,940.6749877929688,0.4254,0.6447200000000001,2.7367777824401855,5,"[0.55, 0.8926]","(0.901, 185.992, 0.8926)"
"[[28 24 20 40  4 41 35 16 43  5 18  8 14 35 24 27 30 20 18 17  1 44 18 16
  47 37 17 38 38 27  3]]",0.628000020980835,944.3040161132812,0.4983,0.57745,3.6041247844696045,6,"[0.55, 0.9096]","(0.883, 128.596, 0.9096)"
"[[ 9 14 43 24 16 26  6 26 41 48  1 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41200000047683716,693.5659790039062,0.5266,0.5329,2.668470621109009,6,"[0.55, 0.8579]","(0.883, 128.596, 0.9096)"
"[[22 35 14 13 17  1 29 44 19 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,915.1610107421875,0.4373,0.53972,2.7127206325531006,5,"[0.55, 0.7272]","(0.883, 128.596, 0.9096)"
"[[23 26 23 22 15 22 15  1 30 42 19 39 48 15  3 13 25 36 25 27 10 46 30 23
  16 33 48  5 49  0  0]]",0.40400001406669617,1075.2939453125,0.4013,0.496,2.616934061050415,5,"[0.55, 0.743]","(0.883, 128.596, 0.9096)"
"[[20 29 30  2 10 25 43 14 19 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,828.5230102539062,0.4719,0.60556,2.6158902645111084,5,"[0.55, 0.8809]","(0.883, 128.596, 0.9096)"
"[[16 15 32 20 16  2 23 30 48 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,854.1900024414062,0.4613,0.60222,2.3230230808258057,5,"[0.55, 0.9376]","(0.902, 74.38, 0.9376)"
"[[39 11 15  9 19 48 44 33 31 17 25  1 28 41  4 41 21 18 19  5 18  1 29  1
  48 49  0  0  0  0  0]]",0.40799999237060547,853.22998046875,0.4614,0.8238,1.6163523197174072,5,"[0.55, 0.9336]","(0.902, 74.38, 0.9376)"
"[[ 9 18 13 36 37 14 42 11 45 36 33 33 15 36 48 34  9 43  3 21 20 16 36 22
  32 32 42  3 47  1 36]]",0.40700000524520874,699.9249877929688,0.5224,0.6121272727272727,2.623518943786621,11,"[0.55, 0.8947]","(0.902, 74.38, 0.9376)"
"[[21 32 36 25 20 15 21 20 35 15  3 36 47 29  8 34 31 44 22  2 10 29 39  1
  10 22  1 20  8 48  1]]",0.40400001406669617,894.3300170898438,0.4436,0.7054333333333334,2.9601240158081055,9,"[0.55, 0.908]","(0.902, 74.38, 0.9376)"
"[[25 47 21 44 28 25 40  9 33 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,850.1680297851562,0.4626,0.6101833333333334,2.8716118335723877,6,"[0.55, 0.8119]","(0.902, 74.38, 0.9376)"
"[[21  3 20 30 33 48 23 44 42 43 48  9 48  9  9 39  2 13 39  8 21  9 13 37
   7 13 45 33  1 48 27]]",0.40299999713897705,972.4019775390625,0.412,0.6664,2.275555372238159,5,"[0.55, 0.863]","(0.902, 74.38, 0.9376)"
"[[19 26 31 36 47 38 15 36 10  8 44  8 14  1 18 35 46 29 14 47 12 44 18 44
  21  4 18 11  8 18 44]]",0.4020000100135803,893.3040161132812,0.4433,0.61532,2.0066349506378174,5,"[0.55, 0.8973]","(0.902, 74.38, 0.9376)"
"[[27 15  9 22 34  3 18 32  5  8  3 16 20 45 29 19  5 48 46 47 33 29 31  1
  47  6  5 22 14 15  5]]",0.4050000011920929,926.8350219726562,0.4309,0.67684,3.0565648078918457,5,"[0.55, 0.8932]","(0.902, 74.38, 0.9376)"
"[[17 45  5 20 31 37 26 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,858.4080200195312,0.4593,0.6143428571428571,2.63751482963562,7,"[0.55, 0.8388]","(0.902, 74.38, 0.9376)"
"[[29  1 46 17 18 48 11 25 48  1 17 45 43  3 35 14 37 44 30 22  1 36 13 20
  20  2  5 21 30 49  0]]",0.460999995470047,973.5900268554688,0.4309,0.6885600000000001,3.8847172260284424,5,"[0.55, 0.9185]","(0.902, 74.38, 0.9376)"
"[[ 5 25 17 44 48 39 10 11 22  1 11  9 30 16 29 47 29 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,835.7230224609375,0.469,0.59166,3.080054998397827,5,"[0.55, 0.8229]","(0.902, 74.38, 0.9376)"
"[[15 33 34 43 48 45 12 36 19 18 20 11 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,897.6240234375,0.444,0.6077142857142857,2.759632110595703,7,"[0.55, 0.9014]","(0.902, 74.38, 0.9376)"
"[[ 1 29  1 16  2  6 47  6 37  1 13 18 43 13 33 44  2 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.42899999022483826,658.801025390625,0.5461,0.6701333333333332,2.567377805709839,6,"[0.55, 0.8615]","(0.902, 74.38, 0.9376)"
"[[ 1 23 48 43 15 28 13 46 39 35 23  9 39 47 32 21 43 16  1  6 16 38 17 40
  39  5 18 49  0  0  0]]",0.4090000092983246,992.0070190429688,0.4062,0.5246000000000001,2.616328239440918,5,"[0.55, 0.9132]","(0.902, 74.38, 0.9376)"
"[[20 32 33 27 22 46 16 20 46 33 22 32 36  4  1 19 44 13 38 36 27 13  7 38
  20 21 14  3 30 49  0]]",0.41100001335144043,1038.6920166015625,0.4037,0.50048,3.0079445838928223,5,"[0.55, 0.7001]","(0.902, 74.38, 0.9376)"
"[[32 17 45 32 17 28 39 21 11 39  9  1 27 29 21 13  3 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,940.5869750976562,0.4264,0.7216,2.665313482284546,5,"[0.55, 0.93]","(0.902, 74.38, 0.9376)"
"[[ 9  9  5 15 17 20 23 40 27  1  8  1 36 48 30 39 36 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,900.10302734375,0.4433,0.67195,2.4153554439544678,8,"[0.55, 0.9336]","(0.902, 74.38, 0.9376)"
"[[10 15 11 40  4 32  4 40 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.45899999141693115,750.905029296875,0.5193,0.55504,3.3720715045928955,5,"[0.55, 0.916]","(0.902, 74.38, 0.9376)"
