accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.8790000081062317,404.56298828125,0.7978,"[[37 10 47 19 29 47 29 29  3  1 16 24 30 40 20 33 24  5 39 26 35  6 20  1
  12 13 18 19 27 18 47]]"
0.8659999966621399,88.01799774169922,0.9201,"[[ 4  6 36  5 35 35 27 17 31 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40700000524520874,1321.60302734375,0.4023,"[[15 11 30 26 46 45 34 18 48 41 44 39  3 23 12  7 37  7 34 45 12 10 17 23
  23 15  7  1 49  0  0]]"
0.41100001335144043,375.2900085449219,0.6536,"[[30  4 17 17 24 35 18 29 41 11 22 13 11  4 33 38 39 47  1  1  1  2 18 19
  45 21  4 42 17 22 46]]"
0.8159999847412109,440.38800048828125,0.7625,"[[ 6 32 43  9 11  3 38 17 44 17 29 44 18 37 39 19  1 32 30 42 11 26 25  6
  41 39 19 18 13 23 33]]"
0.40400001406669617,853.4229736328125,0.46,"[[15 20 27  4 33 33 12 21 15 10  8  4 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4690000116825104,251.43899536132812,0.7224,"[[ 1  4 11 33 48  6  8 26  2 40 14 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,853.6380004882812,0.4619,"[[12 22 47 31 43 22 38 34  6 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4050000011920929,835.9299926757812,0.4673,"[[13 27  1 16 33 34  7 24 37  8 27 27 38 33 48 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40700000524520874,875.8309936523438,0.452,"[[19 24 12 41  1 28 36  3 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8809999823570251,252.5540008544922,0.8593,"[[42  9  1 44  6  9 14 22 11  3 26 21 34 18 10 47 44 16 15  9 12 44 17 49
   0  0  0  0  0  0  0]]"
0.8859999775886536,936.6749877929688,0.5873,"[[ 4 30 17 26 20 40 47 39 48 45 21  2 38 35 20 43  1 43 21 15 21 27 35  8
  27  6 22 27 43 29 46]]"
0.8640000224113464,267.2829895019531,0.8478,"[[11 32 42 14 42 17 17 12 39 36 29 39 45 18 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.41200000047683716,791.6420288085938,0.4873,"[[11 39 43 27  4 10 42 22 46 35 40 25  9 33 45 17 10  6 46 22  5 49  0  0
   0  0  0  0  0  0  0]]"
0.878000020980835,92.87899780273438,0.9222,"[[14 41 12 36  4 18 27 47 38 25 29 47 18 15 15 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8399999737739563,260.31298828125,0.8425,"[[25 36 33 18 46 24 16 45  1 34 44 43 36 45 12 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,612.7730102539062,0.5582,"[[20  7  2 38 39  3 28 10 16 30 26 34 26  2  4 21 42  1  2 18 44 29 44 15
  40 27  6 47 28 10 18]]"
0.40700000524520874,970.0360107421875,0.4143,"[[21  8 18 11  5 32  1 36  6 19 23 42  9  8 24 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40400001406669617,930.531005859375,0.4291,"[[13 19 29 38  8 24 22 16  9 21 25 32 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.847000002861023,267.50799560546875,0.842,"[[30  8 19  1  2 30 35  2 26 39 47 39 48 36 34 41 19 20 45 21 20  7 34 11
  12 39 24 48 21 44 24]]"
0.5049999952316284,468.0679931640625,0.6478,"[[ 6 27 20 28 26 47 32 33 38  3 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.5669999718666077,541.2109985351562,0.6392,"[[36 10 43 39 18 21 18  3 20 13 23 44 33 43 15 25 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.45500001311302185,751.7160034179688,0.5176,"[[38  5  9 48 37 15 26 25 43 27 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40700000524520874,964.2219848632812,0.4166,"[[15 36 45 44  5 23 44 24 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,859.4190063476562,0.4589,"[[ 9 19 12  2  3  2 33 10  1 48 14 24 41 41  9 22 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8399999737739563,218.18899536132812,0.8594,"[[27 31  6 16 34  1 33 23  1 24 18 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4560000002384186,853.833984375,0.4771,"[[35 40 42  1  2 45 34 20  2 14 23 24 14 45 27 47 38 23 43 35 18 15 22 38
  29 29 36 22 36 39 38]]"
0.44200000166893005,954.5590209960938,0.4322,"[[38 15 11 22 36  8 46 44 13 24 14 45 48 29 32 35 23 10  1  9 34  6 39 38
  47 32 16 35 47 39 13]]"
0.4059999883174896,518.3280029296875,0.5947,"[[34  1 26 34 44 11 21 25 45 23 27 35  1 25 22 40 32 37 37 48 35 16 19 32
   1  7 22  2 44 21  7]]"
