accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.8840000033378601,107.70800018310547,0.9183,"[[34  2  3 26  7  8 36 12  7 46 26 46 11 48 43 38 33 39 26 13 34 46  5 47
  20 44 46 21  1 36 36]]"
0.574999988079071,303.1210021972656,0.7371,"[[14  7 42  1 29 28 34 23  7  7  1  7  7 39 42  4 14 33 49  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4059999883174896,629.5399780273438,0.5502,"[[ 7 38 26 45 21 42 36 40  8  3 47 40  9 25  4  3 33  4 46 48 29 14 11 17
  44  2 44 32 30 49  0]]"
0.8320000171661377,690.260009765625,0.6679,"[[16 46 32 13 14  9 10 12 22 39 36 33 41 46 43  1 24  6 48 46 30  6 20 38
   5 18 14 13  2 44  4]]"
0.4090000092983246,943.9860229492188,0.4254,"[[25 44 20 28  9 15 21 42 47 22 45 21  1 42 43  9 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8989999890327454,538.6420288085938,0.7509,"[[39  2 44 10 23 39 29 30 36  8 12 11  8  5 42  3 21 13 47  1 38  7 26 41
  30 21 27 24 11  7 21]]"
0.7900000214576721,892.4030151367188,0.573,"[[ 8 30 15 47 21 39 17 16 12 32 33 13 39 39 46 37 37 36 22 49  0  0  0  0
   0  0  0  0  0  0  0]]"
0.6520000100135803,386.614990234375,0.7294,"[[37 40  5 15  1 39 11 48 35  7  9 12 33 44 47 24  1 16 49  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,993.9450073242188,0.4054,"[[20 46 38 43  1 45 15  8 29 11 21  5 23  7 13 33 20 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,721.4089965820312,0.5144,"[[39 13 37 28 15 39 25 21 36 44 36  2 24 42 25  7 18 24  9  6  3 35 27  4
  29  1  9 38  4 12 30]]"
0.890999972820282,262.9830017089844,0.8585,"[[32 29 36 46 30 38 23  1 14  6 45 40 27 13 35 27 26 12 12 12 20 14 13 43
  43 28 29 12 36 17 33]]"
0.7889999747276306,593.6859741210938,0.6922,"[[29  9 33  2  8 11 29 30 46 11 27  1 19 43 19  9 38 24 31 45 40 39 29 43
  48  1 15 33  9 48 39]]"
0.4129999876022339,714.3489990234375,0.5186,"[[20  2 44 43  5  1 15 46 18 21  7 37 45 17 27  9 21 26 46 47 26 34 19 24
  12 39 35 37 13 36 27]]"
0.7580000162124634,178.17300415039062,0.8481,"[[14 43 25 32 16  7 37 16 26 44 15 29 48 22  3 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.6340000033378601,223.60299682617188,0.7886,"[[31 35 43 27 28 24 31  5 17  1 12 34  5 16 39 23 18 41 35 32 22  4 20 14
  43 24 46 47 35  1  9]]"
0.40799999237060547,651.3829956054688,0.5421,"[[ 1 37 45 17 16 32 39 45  9 21 39 11 10 21 14 21 24 38 42  3 36 45 16 30
  20 26 46 29  9 33 15]]"
0.8939999938011169,265.9360046386719,0.8583,"[[ 2 32 39 47 36 21 29 26 22 16  7 43 36 10 36 34 16 33 30 49  0  0  0  0
   0  0  0  0  0  0  0]]"
0.47999998927116394,791.7739868164062,0.51,"[[ 5 16  1 11 33 17 26 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8339999914169312,457.9649963378906,0.7615,"[[29 37  8 37 10 11 47 46 11 40 11 18 27 31 42 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.859000027179718,60.7130012512207,0.9287,"[[32  6 40  8 44 31 29 12  4 27 29  1 19 45  7  8  9 42  6 44 49  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,854.2680053710938,0.4613,"[[15 37 21  5  4 16 24 44 28 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.41100001335144043,496.4079895019531,0.6051,"[[ 2 30 45 19 35 48 37 39  6 33 27  9 48  2 34 14 21 40  7  7 49  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,779.1270141601562,0.4917,"[[11 15  8 38  8 36 24 46 26 29  8 47 44 42  5 37 33  3  8 16 24  1 49  0
   0  0  0  0  0  0  0]]"
0.6110000014305115,273.0660095214844,0.7611,"[[ 5  6  3  2 26 37 44 12 27 25 48 24 18 38 23  6 26 39 29 32  2 27  2  1
  26  8 44 39 44 11  6]]"
0.8700000047683716,141.12100219726562,0.9002,"[[ 6 44 40 29  2 30 40 42  1  6 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8600000143051147,143.30099487304688,0.896,"[[ 1 12 18 28 32 25 16 31 29  3 48 15 26 20  1  2  1 29  4 21  4  5 27 15
  36 47 16 47  9  5 22]]"
0.4300000071525574,660.7020263671875,0.5457,"[[29  7 26 30  6 11 26 25 46 29 12  8  1 21 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8769999742507935,861.0390014648438,0.6146,"[[18 45 22 15 28 10 15 47 46 37 42  2  5 44 41 44 46  8 23 13 17  5 46 47
   1 40 47 29 45 16 33]]"
0.8080000281333923,274.5039978027344,0.8262,"[[ 5 12 31 46 24 43 34 34 32  7 14 30 29 37 43 40  6 39 44 49  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4059999883174896,552.6110229492188,0.581,"[[16  8 44 43 32 14 14  1  7 38 13 16 34 16 39 20 44 21 47 48  4 10 29 15
  39  2  2  8 32  4 39]]"
0.4099999964237213,664.5659790039062,0.5375,"[[30 32 37 38 21 33 19  9  1  1 31 29 29 11  2 31 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.6919999718666077,460.5140075683594,0.7131,"[[28 12 37 32 25  1 13 45 19 42 13 41 19  5 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8809999823570251,78.19200134277344,0.9291,"[[25 42 41  4 43 28 42 43  9 21  8 37 49  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8799999952316284,110.76200103759766,0.9157,"[[27  4 30 32 30  9 14 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7049999833106995,429.4679870605469,0.7299,"[[36  3 18 15 43 27 42 44 29 26 17 41 28  3 26  4 46 11 36 43 36 13 28 26
   9  8 10  4  1  3 16]]"
0.414000004529953,943.0859985351562,0.4274,"[[16 31 21 16 11 44  9 17 13 11 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,830.9730224609375,0.4703,"[[24  1 37 37 34 32 35 40 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40700000524520874,863.2050170898438,0.4571,"[[10 17 23 16 29 18  5  3 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8690000176429749,241.14100646972656,0.8599,"[[38 18  6 45 26 36  1 10 32 29 46 28 20 35  5  9 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40400001406669617,1076.3060302734375,0.4013,"[[30 22 28 29 30 28 44 20 15 44 19 38 28 27 15 15 22 21 23 13 10 42 33 42
  23  7 11 17 18  7 46]]"
0.7360000014305115,317.6600036621094,0.7849,"[[30  1 48 41  4 48 46 26 40 33 32  5 42 48 23 46 48 31 21 32 46 24 49  0
   0  0  0  0  0  0  0]]"
0.5410000085830688,908.4420166015625,0.4836,"[[26 47 36  3 20 41 22 13 37 21 48 30 29  8 36 19 28 39 28 27  9 13 21  9
  35 41 16  9  5 47  5]]"
0.8889999985694885,189.71200561523438,0.8871,"[[38  8 33  1 18 18 48 22 39 23 21 21 10 48 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,841.4299926757812,0.4664,"[[34 17  1  2 45 29 37  8 27 31  1  1 41 35  2 30 38 17 46 26 18 49  0  0
   0  0  0  0  0  0  0]]"
