Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.918,0.55,0.9183,3.2471060752868652,7
2,5,0.751,0.55,0.9183,3.0290119647979736,2
3,6,0.858,0.55,0.9183,3.5979344844818115,0
4,5,0.929,0.55,0.9287,1.9502899646759033,0
5,6,0.9,0.55,0.9287,2.7965800762176514,0
6,9,0.929,0.55,0.9291,2.4997332096099854,0
7,6,0.86,0.55,0.9291,2.5394694805145264,0
8,6,0.92,0.55,0.9291,2.907729387283325,4
9,5,0.712,0.55,0.9291,1.9874271154403687,1
10,5,0.545,0.55,0.9291,2.793940305709839,3
11,8,0.856,0.55,0.9291,3.084368944168091,1
12,7,0.873,0.55,0.9291,3.0967612266540527,0
13,5,0.924,0.55,0.9291,3.0777392387390137,0
14,6,0.916,0.55,0.9291,2.5916738510131836,5
15,5,0.583,0.55,0.9291,2.7039759159088135,1
16,7,0.929,0.55,0.9293,1.5184413194656372,2
17,6,0.932,0.55,0.9323,2.371591806411743,0
18,9,0.915,0.55,0.9323,2.6086251735687256,0
19,5,0.609,0.55,0.9323,2.2854928970336914,0
20,5,0.917,0.55,0.9323,2.963829755783081,3
21,5,0.577,0.55,0.9323,2.457564115524292,2
22,5,0.739,0.55,0.9323,2.506207227706909,11
23,5,0.92,0.55,0.9323,2.1047425270080566,1
24,7,0.93,0.55,0.9323,1.7619603872299194,0
25,7,0.874,0.55,0.9323,1.8988101482391357,5
26,11,0.938,0.55,0.9384,1.6250141859054565,3
27,6,0.904,0.55,0.9384,1.3084218502044678,1
28,7,0.923,0.55,0.9384,1.0480715036392212,58
29,6,0.921,0.55,0.9384,1.0480715036392212,228
