sequence,nas_accuracy,nas_latency,nas_reward,trained_accuracy
"[8, 8, 1, 11, 38, 18, 20, 1, 49]",0.8889999986,61.547000885,0.9384,0.975694418
"[14, 18, 47, 18, 6, 43, 9, 1, 38, 49]",0.8949999809,81.7119979858,0.9323,0.7627314925
"[8, 8, 8, 1, 18, 5, 36, 1, 43, 16, 44, 39, 27, 49]",0.8590000272,58.3120002747,0.9297,0.935185194
