sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[25 44 20 28  9 15 21 42 47 22 45 21  1 42 43  9 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,943.9860229492188,0.4254,0.6597799999999999,3.2471060752868652,5,"[0.55, 0.9183]","(0.884, 107.708, 0.9183)"
"[[39 13 37 28 15 39 25 21 36 44 36  2 24 42 25  7 18 24  9  6  3 35 27  4
  29  1  9 38  4 12 30]]",0.4090000092983246,721.4089965820312,0.5144,0.5946200000000001,3.0290119647979736,5,"[0.55, 0.7509]","(0.884, 107.708, 0.9183)"
"[[ 1 37 45 17 16 32 39 45  9 21 39 11 10 21 14 21 24 38 42  3 36 45 16 30
  20 26 46 29  9 33 15]]",0.40799999237060547,651.3829956054688,0.5421,0.7080166666666668,3.5979344844818115,6,"[0.55, 0.8585]","(0.884, 107.708, 0.9183)"
"[[15 37 21  5  4 16 24 44 28 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,854.2680053710938,0.4613,0.70396,1.9502899646759033,5,"[0.55, 0.9287]","(0.859, 60.713, 0.9287)"
"[[29  7 26 30  6 11 26 25 46 29 12  8  1 21 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4300000071525574,660.7020263671875,0.5457,0.6999666666666666,2.7965800762176514,6,"[0.55, 0.9002]","(0.859, 60.713, 0.9287)"
"[[16 31 21 16 11 44  9 17 13 11 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.414000004529953,943.0859985351562,0.4274,0.6971666666666666,2.4997332096099854,9,"[0.55, 0.9291]","(0.881, 78.192, 0.9291)"
"[[26 47 36  3 20 41 22 13 37 21 48 30 29  8 36 19 28 39 28 27  9 13 21  9
  35 41 16  9  5 47  5]]",0.5410000085830688,908.4420166015625,0.4836,0.5761833333333334,2.5394694805145264,6,"[0.55, 0.8599]","(0.881, 78.192, 0.9291)"
"[[11  6 23 29 31  9  5  1 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41100001335144043,860.2990112304688,0.4595,0.65585,2.907729387283325,6,"[0.55, 0.9196]","(0.881, 78.192, 0.9291)"
"[[15 38 40 46 14 12 27  2 30 12 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,847.9249877929688,0.4638,0.55236,1.9874271154403687,5,"[0.55, 0.7118]","(0.881, 78.192, 0.9291)"
"[[38 27 39 43  7 47 39  9 12  9 37 42 41 12 22  9 33 27 26 49  0  0  0  0
   0  0  0  0  0  0  0]]",0.46399998664855957,722.6599731445312,0.5323,0.4985200000000001,2.793940305709839,5,"[0.55, 0.545]","(0.881, 78.192, 0.9291)"
"[[ 5 20  3 28 42 37 21 36 27  5 26 24 36 13 10  9  6 15 46 39 22  7 34 23
  33 44 18 14 32 38 12]]",0.4090000092983246,715.47900390625,0.5168,0.6495500000000001,3.084368944168091,8,"[0.55, 0.8555]","(0.881, 78.192, 0.9291)"
"[[15  2 27 26 16 43 16 27 29 46 39 26 45 12 27 36 35 26 36 37 18 48  4 46
  45 39 25 47 39 44 41]]",0.4059999883174896,773.1110229492188,0.4928,0.6361285714285714,3.0967612266540527,7,"[0.55, 0.873]","(0.881, 78.192, 0.9291)"
"[[15 16 27 21  8 32 28  3 46 23 43 13  7 43 46 12 37 36  2  7 35 31 13 11
  42 24  1  8  1 35 14]]",0.41200000047683716,769.52099609375,0.4962,0.71584,3.0777392387390137,5,"[0.55, 0.9236]","(0.881, 78.192, 0.9291)"
"[[30 15 46 26 18 48 29 41 41 46 25 36  3 22 28  9 40 35  2  9  1 27 29 12
  30 14 35  8  1  8 20]]",0.4050000011920929,737.718994140625,0.5066,0.6104,2.5916738510131836,6,"[0.55, 0.9156]","(0.881, 78.192, 0.9291)"
"[[39 10 23 27 35 10 38  3 33 46 37 41 46 33 26  6  8 39 47 32 49  0  0  0
   0  0  0  0  0  0  0]]",0.4050000011920929,815.406005859375,0.4755,0.49657999999999997,2.7039759159088135,5,"[0.55, 0.5834]","(0.881, 78.192, 0.9291)"
"[[19  6 11 33  7 20 16 40 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4059999883174896,920.7849731445312,0.4337,0.6424142857142857,1.5184413194656372,7,"[0.55, 0.9293]","(0.868, 66.809, 0.9293)"
"[[27  1  6 13 15 25  8 30 37 45  3 39 33 19  7 34 47  2 26 45 38  1 29 30
  49  0  0  0  0  0  0]]",0.5410000085830688,777.9080200195312,0.5358,0.6378333333333334,2.371591806411743,6,"[0.55, 0.9323]","(0.895, 81.712, 0.9323)"
"[[ 9 29 20 23 29 21 45 13 11 36 44 48  4 25 22 24 23 36 17 26 34 39 34 29
  43 23  1 35  1 43 17]]",0.7570000290870667,1200.5579833984375,0.519,0.6408666666666666,2.6086251735687256,9,"[0.55, 0.915]","(0.895, 81.712, 0.9323)"
"[[27 29 18 39 26 17 33 11 21 34 18  6 34 37 33 20 16  1 49  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.41999998688697815,493.24200439453125,0.6094,0.47036,2.2854928970336914,5,"[0.55, 0.6094]","(0.895, 81.712, 0.9323)"
"[[24  2  1 15 26  1  1 46 32 17 18  9 13 36 42 12 26 33 33 23 11 15 32 41
  17 18 15 27  1 36 18]]",0.4000000059604645,1017.0360107421875,0.4,0.59238,2.963829755783081,5,"[0.55, 0.9171]","(0.895, 81.712, 0.9323)"
