sequence,nas_accuracy,nas_latency,nas_reward,trained_accuracy
"[31, 42, 26, 14, 44, 9, 3, 12, 15, 2, 47, 12, 1, 49]",0.9020000100135803,62.722999572753906,0.9422,0.9236111044883728
"[42, 14, 48, 42, 36, 5, 10, 37, 48, 49]",0.8999999761581421,63.20600128173828,0.9414,0.9131944179534912
"[33, 42, 26, 6, 24, 4, 11, 1, 49]",0.8939999938011169,60.89799880981445,0.9403,0.9097222089767456
