Episode,Plays:,Max reward,reward_min,Best reward:,Loss,Invalids
1,5,0.898,0.55,0.8984,2.9564599990844727,0
2,5,0.92,0.55,0.9201,2.7620654106140137,6
3,5,0.905,0.55,0.9201,3.1280479431152344,1
4,7,0.937,0.55,0.9367,2.5493273735046387,0
5,7,0.767,0.55,0.9367,2.811082124710083,5
6,5,0.918,0.55,0.9367,2.6406314373016357,2
7,5,0.519,0.55,0.9367,1.6884475946426392,5
8,5,0.621,0.55,0.9367,1.7862279415130615,8
9,5,0.879,0.55,0.9367,2.763063430786133,0
10,5,0.85,0.55,0.9367,3.5433382987976074,0
11,5,0.536,0.55,0.9367,2.6647732257843018,0
12,8,0.824,0.55,0.9367,3.0550358295440674,3
13,5,0.77,0.55,0.9367,2.786393642425537,2
14,13,0.885,0.55,0.9367,2.9234890937805176,2
15,8,0.924,0.55,0.9367,2.35400128364563,4
16,6,0.882,0.55,0.9367,2.62817645072937,1
17,8,0.913,0.55,0.9367,2.81135892868042,1
18,5,0.769,0.55,0.9367,2.6163899898529053,5
19,7,0.932,0.55,0.9367,2.828949451446533,1
20,5,0.862,0.55,0.9367,2.420891284942627,4
21,5,0.794,0.55,0.9367,2.371893882751465,3
22,9,0.908,0.55,0.9367,3.3534722328186035,2
23,5,0.768,0.55,0.9367,2.152714252471924,7
24,5,0.873,0.55,0.9367,2.7141764163970947,3
25,5,0.566,0.55,0.9367,1.884110689163208,1
26,5,0.83,0.55,0.9367,2.298969030380249,3
27,6,0.768,0.55,0.9367,2.425187826156616,2
28,6,0.905,0.55,0.9367,2.5266973972320557,0
29,7,0.765,0.55,0.9367,2.6359708309173584,2
30,5,0.515,0.55,0.9367,3.030261516571045,2
31,5,0.539,0.55,0.9367,3.4436707496643066,3
32,6,0.703,0.55,0.9367,2.7295596599578857,0
33,5,0.762,0.55,0.9367,2.8114733695983887,4
34,5,0.648,0.55,0.9367,3.0062851905822754,2
35,7,0.902,0.55,0.9367,2.252903461456299,2
36,9,0.894,0.55,0.9367,2.146864652633667,3
37,6,0.903,0.55,0.9367,2.221686363220215,1
38,5,0.876,0.55,0.9367,1.4933587312698364,0
39,6,0.892,0.55,0.9367,2.649156332015991,0
40,6,0.898,0.55,0.9367,3.1157045364379883,5
41,6,0.85,0.55,0.9367,2.9933652877807617,5
42,6,0.854,0.55,0.9367,3.217665910720825,2
43,5,0.612,0.55,0.9367,2.5679707527160645,4
44,7,0.897,0.55,0.9367,2.531759023666382,3
45,12,0.938,0.55,0.9378,2.597226619720459,2
46,8,0.909,0.55,0.9378,2.0489227771759033,5
47,6,0.84,0.55,0.9378,3.319561719894409,4
48,6,0.795,0.55,0.9378,3.9083540439605713,1
49,7,0.924,0.55,0.9378,2.5842082500457764,1
50,5,0.832,0.55,0.9378,1.9327888488769531,8
51,5,0.912,0.55,0.9378,3.1033108234405518,1
52,6,0.932,0.55,0.9378,2.6482744216918945,0
53,6,0.906,0.55,0.9378,2.4247076511383057,0
54,8,0.88,0.55,0.9378,2.8112916946411133,1
55,7,0.929,0.55,0.9378,3.0717861652374268,1
56,5,0.93,0.55,0.9378,2.4931278228759766,1
57,6,0.881,0.55,0.9378,2.9325692653656006,0
58,6,0.904,0.55,0.9378,2.0586018562316895,2
59,6,0.745,0.55,0.9378,2.7296268939971924,9
60,7,0.923,0.55,0.9378,2.9677045345306396,3
61,8,0.907,0.55,0.9378,2.3988115787506104,0
62,5,0.643,0.55,0.9378,2.5426788330078125,0
63,5,0.797,0.55,0.9378,2.6631219387054443,2
64,5,0.934,0.55,0.9378,3.4690375328063965,0
65,5,0.508,0.55,0.9378,3.201181411743164,8
66,5,0.741,0.55,0.9378,2.615813970565796,4
67,5,0.867,0.55,0.9378,2.9571614265441895,3
68,5,0.852,0.55,0.9378,1.6396881341934204,1
69,6,0.856,0.55,0.9378,3.115468978881836,0
70,5,0.881,0.55,0.9378,2.4448959827423096,0
71,5,0.917,0.55,0.9378,3.4210267066955566,1
72,7,0.898,0.55,0.9378,3.471475124359131,2
73,5,0.936,0.55,0.9378,2.2255780696868896,5
74,5,0.706,0.55,0.9378,2.5417237281799316,2
75,5,0.562,0.55,0.9378,2.7618629932403564,2
76,6,0.899,0.55,0.9378,2.180479049682617,0
77,5,0.69,0.55,0.9378,3.3956360816955566,1
78,5,0.881,0.55,0.9378,1.9087501764297485,1
79,9,0.908,0.55,0.9378,3.0544180870056152,2
80,5,0.907,0.55,0.9378,2.6884703636169434,1
81,7,0.92,0.55,0.9378,2.549211263656616,1
82,6,0.911,0.55,0.9378,3.1966793537139893,3
83,5,0.857,0.55,0.9378,3.128361225128174,3
84,6,0.858,0.55,0.9378,2.668402910232544,4
85,5,0.565,0.55,0.9378,2.8356637954711914,4
86,5,0.505,0.55,0.9378,2.518240451812744,0
87,5,0.934,0.55,0.9378,2.5911474227905273,15
88,6,0.9,0.55,0.9378,1.733375906944275,7
89,6,0.734,0.55,0.9378,2.139500856399536,0
90,5,0.906,0.55,0.9378,2.1028974056243896,2
91,6,0.905,0.55,0.9378,2.9121999740600586,0
92,6,0.904,0.55,0.9378,3.236953020095825,5
93,5,0.882,0.55,0.9378,3.2985167503356934,0
94,7,0.926,0.55,0.9378,2.4100210666656494,3
95,5,0.827,0.55,0.9378,2.8598408699035645,1
96,5,0.698,0.55,0.9378,2.1520938873291016,1
97,6,0.873,0.55,0.9378,2.505333185195923,7
98,5,0.928,0.55,0.9378,2.5181212425231934,2
99,5,0.927,0.55,0.9378,2.932633638381958,3
100,5,0.937,0.55,0.9378,2.1032299995422363,0
101,5,0.789,0.55,0.9378,1.9567722082138062,6
102,5,0.705,0.55,0.9378,2.1765623092651367,0
103,6,0.847,0.55,0.9378,3.2581002712249756,0
104,5,0.749,0.55,0.9378,3.2502665519714355,0
105,6,0.777,0.55,0.9378,3.6239426136016846,14
106,6,0.915,0.55,0.9378,2.952960968017578,7
107,5,0.506,0.55,0.9378,3.2007651329040527,0
108,5,0.923,0.55,0.9378,3.17655086517334,3
109,5,0.502,0.55,0.9378,2.42033052444458,0
110,6,0.776,0.55,0.9378,2.912646532058716,0
111,5,0.53,0.55,0.9378,2.71254563331604,1
112,6,0.936,0.55,0.9378,2.2820863723754883,5
113,5,0.676,0.55,0.9378,2.615809679031372,3
114,5,0.926,0.55,0.9378,1.8597551584243774,0
115,5,0.866,0.55,0.9378,3.5170414447784424,2
116,5,0.496,0.55,0.9378,2.298875093460083,7
117,5,0.863,0.55,0.9378,2.566309928894043,7
118,8,0.906,0.55,0.9378,2.8567190170288086,3
119,9,0.934,0.55,0.9378,2.553368091583252,6
120,6,0.921,0.55,0.9378,3.053502321243286,2
121,7,0.936,0.55,0.9378,2.984743356704712,0
122,5,0.892,0.55,0.9378,2.2984185218811035,7
123,6,0.901,0.55,0.9378,3.298640012741089,7
124,5,0.873,0.55,0.9378,2.3960859775543213,0
125,5,0.807,0.55,0.9378,2.95758318901062,1
126,5,0.874,0.55,0.9378,3.0556840896606445,2
127,6,0.857,0.55,0.9378,3.7866642475128174,1
128,6,0.877,0.55,0.9378,2.5668785572052,2
