accuracy_per_play,latency_per_play,reward_per_play,sequence_per_play
0.8790000081062317,153.26100158691406,0.8984,"[[40 38 43 45 22 34 43 42 26 45  1 10 32 11 37 29 10  5 43 37 43 30 22 15
   5 19  1 49  0  0  0]]"
0.8429999947547913,614.2559814453125,0.702,"[[42 26 22 44 31 12 35 13 37 17  6  1 44 33 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8849999904632568,658.3690185546875,0.6983,"[[25 16  3 42 46 48 43 29 33  9 33 25 12 12 26  1 47 37 26 44  5 10 19  6
  10 32 32 47 22 30 24]]"
0.8619999885559082,262.2170104980469,0.8491,"[[ 6 42  2 38  1 30 44 41  1  3 39 36  7  1 37 18 38 17  1 10 42 15 39 49
   0  0  0  0  0  0  0]]"
0.4339999854564667,242.33599853515625,0.7144,"[[36 36 18 35 46 10  8 11 36 45 40  5  1 22 12  7 14 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4189999997615814,745.3709716796875,0.5082,"[[14 44 20 15 37 33 12 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4909999966621399,329.20098876953125,0.6987,"[[ 1 37 41 15  6 46  5 19 46  5 21 17  5  2 43 49  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8830000162124634,102.25800323486328,0.9201,"[[27 40  3 43 41 10  3 47 47 11 45 35 46 15 48 18 45 33  7 47 30 19 29 38
  38 27 34 26 38 22 20]]"
0.4519999921321869,509.15301513671875,0.6137,"[[36 12 41 43 25 42 31 22 19 43 27 37 35 21  3 22  2  2 10 41 22 43 41 20
  24 49  0  0  0  0  0]]"
0.4059999883174896,792.8599853515625,0.4849,"[[34 17 38 24  2 41 31 20 11 17  2  2 38 38 26  6 46  6 24 30 15 44 18 18
  46 36 49  0  0  0  0]]"
0.878000020980835,135.86399841308594,0.905,"[[ 2 16 31 45  4 43 44 48 12 37 32 16 19 27 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4099999964237213,217.91099548339844,0.7162,"[[ 9  4 32 26 17 43 34 12 20  6 15  3 12 26 29  6 39  3  8 39  8  1 22  5
  10 23  9 42  2 19 21]]"
0.40799999237060547,883.405029296875,0.4493,"[[24 38  5 36 18  8  5 25 23 38 28 17  1 15 31 40 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.781000018119812,676.447998046875,0.6564,"[[ 5  5  1  1 47 12 25  4 17 13 32 34 33 41  2 17 38 35  1 12 14 36 36 30
  38 32 45 47 49  0  0]]"
0.4050000011920929,886.5590209960938,0.447,"[[17 13  4 43  1 47 39 27 14  9 47  6  8 23 45 27 32 42 13 38 28 32  6 20
  32  8 44 32 27 11 44]]"
0.6579999923706055,190.0749969482422,0.81,"[[12  7  4 30 41  7 31 29 48  7 12  2 36  5 30 46 49  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4880000054836273,273.0379943847656,0.7201,"[[30 25  6  5 46 27 26 41 44  9 21 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.40799999237060547,954.35498046875,0.4209,"[[13 18 47 39 30 34 47 16 44 19 39 14 24 12  1 17  1 47 44 10 28 49  0  0
   0  0  0  0  0  0  0]]"
0.890999972820282,67.37000274658203,0.9367,"[[41 33 33 25  3  4 47 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.7409999966621399,188.7100067138672,0.8382,"[[10 32 39 26 38 43  1 26  1 23 40 29 15 14  1 48 30 33 14  7 20 47  1 11
  32  9 10  6  1  5 32]]"
0.40299999713897705,553.8989868164062,0.5794,"[[25 21 42 39  3 18 17 12 43  9  3  8 10 32  2 43 48 22 12 48 46  4  4  2
  14 45 44 22 32 12 41]]"
0.4090000092983246,867.302978515625,0.4561,"[[11  2 19 24 28 15 11 44  1 27 30 26 18 35 30 35 11 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.8579999804496765,699.166015625,0.673,"[[ 8 46 33  3 26 36  5 11  5 15  1 29 48 21  7 11 35  5 40 18 18  8 41 49
   0  0  0  0  0  0  0]]"
0.4090000092983246,895.4340209960938,0.4448,"[[14 19 17 11  1  3 23 42 11 18 21 49  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.414000004529953,827.8179931640625,0.4735,"[[36 44 48  8 15 22 29 42 12 32 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4050000011920929,820.7239990234375,0.4734,"[[22 43 38 10 41 36 29 27  6 47 18 18 12 36  7 24 43 35 44 41 11 30 15 44
   5 48 39  9 46 39 14]]"
0.43700000643730164,113.41699981689453,0.767,"[[ 2 18  2 29 16 10 25 27  9 36 17 43  3 20 20 13 27 23 36  3 20 18 21 33
   5 10 30  4 18 17 24]]"
0.4180000126361847,288.0669860839844,0.6908,"[[34 10 13  6 15 45 35  9  6 29 27 28 47 49  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]"
0.4090000092983246,829.6840209960938,0.4711,"[[13 20  4 39  7 47 34 40 22 37 29 24 14  1 46  8 24 13 33 47  3 10 24  1
   1 42 11 48  5 47  1]]"
0.4050000011920929,929.1680297851562,0.43,"[[21 43 48 27 30  4 43  9 29 23  3  7 14 30  2  3 32 36 41  3  9 32 37 22
  15  3 22 32 32 43 42]]"
