sequence_per_episode,accuracy_per_episode,latency_per_episode,reward_per_episode,avg_reward_per_episode,loss,play_counts,min_max,best_so_far
"[[36 36 18 35 46 10  8 11 36 45 40  5  1 22 12  7 14 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4339999854564667,242.33599853515625,0.7144,0.77244,2.9564599990844727,5,"[0.55, 0.8984]","(0.879, 153.261, 0.8984)"
"[[34 17 38 24  2 41 31 20 11 17  2  2 38 38 26  6 46  6 24 30 15 44 18 18
  46 36 49  0  0  0  0]]",0.4059999883174896,792.8599853515625,0.4849,0.6451200000000001,2.7620654106140137,5,"[0.55, 0.9201]","(0.883, 102.258, 0.9201)"
"[[17 13  4 43  1 47 39 27 14  9 47  6  8 23 45 27 32 42 13 38 28 32  6 20
  32  8 44 32 27 11 44]]",0.4050000011920929,886.5590209960938,0.447,0.63478,3.1280479431152344,5,"[0.55, 0.905]","(0.883, 102.258, 0.9201)"
"[[11  2 19 24 28 15 11 44  1 27 30 26 18 35 30 35 11 49  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,867.302978515625,0.4561,0.6802,2.5493273735046387,7,"[0.55, 0.9367]","(0.891, 67.37, 0.9367)"
"[[13 20  4 39  7 47 34 40 22 37 29 24 14  1 46  8 24 13 33 47  3 10 24  1
   1 42 11 48  5 47  1]]",0.4090000092983246,829.6840209960938,0.4711,0.5705142857142856,2.811082124710083,7,"[0.55, 0.767]","(0.891, 67.37, 0.9367)"
"[[20 35 11 10 46 38 11 17 25 23 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4099999964237213,998.364990234375,0.404,0.63472,2.6406314373016357,5,"[0.55, 0.9184]","(0.891, 67.37, 0.9367)"
"[[ 3 44 13 35 20  2 34 37 13 39 49  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.42800000309944153,842.72802734375,0.4722,0.46891999999999995,1.6884475946426392,5,"[0.55, 0.5188]","(0.891, 67.37, 0.9367)"
"[[17 14 39 28 13  3 19 12 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40799999237060547,939.8090209960938,0.4267,0.48281999999999997,1.7862279415130615,5,"[0.55, 0.621]","(0.891, 67.37, 0.9367)"
"[[19 38  1 17 11 39 48  8 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.40700000524520874,877.7050170898438,0.4513,0.58214,2.763063430786133,5,"[0.55, 0.879]","(0.891, 67.37, 0.9367)"
"[[17 47 38 46 29  1 16  1 37 41 31 11 26 25 12 16 44 22 41 23  2 47 30 46
   1  7 47 39 12 39 30]]",0.4059999883174896,722.97900390625,0.5128,0.65432,3.5433382987976074,5,"[0.55, 0.8501]","(0.891, 67.37, 0.9367)"
"[[12 46  3 39 17 16 39 31 38 41 33 36 27 31 49  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.45899999141693115,784.2440185546875,0.506,0.4756,2.6647732257843018,5,"[0.55, 0.5355]","(0.891, 67.37, 0.9367)"
"[[17  7 38 41 34 31  2 18  3  2 46  3 30 11 44 20 37 17 38 12  4 18  5 39
  33 36 45 20 13  9 11]]",0.41200000047683716,1030.748046875,0.404,0.6702250000000001,3.0550358295440674,8,"[0.55, 0.8236]","(0.891, 67.37, 0.9367)"
"[[35 17  5 48  2  5 47 13 49  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
   0  0  0  0  0  0  0]]",0.4090000092983246,839.0789794921875,0.4674,0.61092,2.786393642425537,5,"[0.55, 0.7698]","(0.891, 67.37, 0.9367)"
